ENSG00000002834	LASP1
ENSG00000005073	HOXA11
ENSG00000005339	CREBBP
ENSG00000006468	ETV1
ENSG00000007237	GAS7
ENSG00000007312	CD79B
ENSG00000009709	PAX7
ENSG00000012048	BRCA1
ENSG00000015285	WAS
ENSG00000018408	WWTR1
ENSG00000019582	CD74
ENSG00000023445	BIRC3
ENSG00000026103	FAS
ENSG00000029725	RABEP1
ENSG00000039068	CDH1
ENSG00000047410	TPR
ENSG00000047932	GOPC
ENSG00000047936	ROS1
ENSG00000048462	TNFRSF17
ENSG00000049540	ELN
ENSG00000051108	HERPUD1
ENSG00000054118	THRAP3
ENSG00000055609	KMT2C
ENSG00000057657	PRDM1
ENSG00000064012	CASP8
ENSG00000064933	PMS1
ENSG00000065559	MAP2K4
ENSG00000066455	GOLGA5
ENSG00000066468	FGFR2
ENSG00000067082	KLF6
ENSG00000067842	ATP2B3
ENSG00000067955	CBFB
ENSG00000068078	FGFR3
ENSG00000068323	TFE3
ENSG00000069399	BCL3
ENSG00000070371	CLTCL1
ENSG00000070404	FSTL3
ENSG00000071564	TCF3
ENSG00000072274	TFRC
ENSG00000072364	AFF4
ENSG00000072694	FCGR2B
ENSG00000073584	SMARCE1
ENSG00000073614	KDM5A
ENSG00000073921	PICALM
ENSG00000076242	MLH1
ENSG00000076685	NT5C2
ENSG00000077150	NFKB2
ENSG00000077782	FGFR1
ENSG00000078399	HOXA9
ENSG00000078403	MLLT10
ENSG00000078674	PCM1
ENSG00000079102	RUNX1T1
ENSG00000079432	CIC
ENSG00000079805	DNM2
ENSG00000080824	HSP90AA1
ENSG00000081237	PTPRC
ENSG00000082805	ERC1
ENSG00000082898	XPO1
ENSG00000083093	PALB2
ENSG00000083168	KAT6A
ENSG00000083799	CYLD
ENSG00000084676	NCOA1
ENSG00000085224	ATRX
ENSG00000085276	MECOM
ENSG00000085832	EPS15
ENSG00000087460	GNAS
ENSG00000088038	CNOT3
ENSG00000088256	GNA11
ENSG00000089280	FUS
ENSG00000091483	FH
ENSG00000092820	EZR
ENSG00000095002	MSH2
ENSG00000096384	HSP90AB1
ENSG00000096968	JAK2
ENSG00000097007	ABL1
ENSG00000099956	SMARCB1
ENSG00000100105	PATZ1
ENSG00000100311	PDGFB
