PathwayID PathwayName               URL
hsa04520  AdherensJunction          http://www.genome.jp/kegg-bin/show_pathway?hsa04520
hsa04210  Apoptosis                 http://www.genome.jp/kegg-bin/show_pathway?hsa04210
hsa04350  TGFbetaSignaling          http://www.genome.jp/kegg-bin/show_pathway?hsa04350
hsa04110  CellCycle                 http://www.genome.jp/kegg-bin/show_pathway?hsa04110
hsa04115  TP53Signaling             http://www.genome.jp/kegg-bin/show_pathway?hsa04115
hsa04370  VEGFSignaling             http://www.genome.jp/kegg-bin/show_pathway?hsa04370
hsa03320  PPARSignaling             http://www.genome.jp/kegg-bin/show_pathway?hsa03320
hsa04010  MAPKSignaling             http://www.genome.jp/kegg-bin/show_pathway?hsa04010
hsa04012  ERBBSignaling             http://www.genome.jp/kegg-bin/show_pathway?hsa04012
hsa04150  mTORSignaling             http://www.genome.jp/kegg-bin/show_pathway?hsa04150
hsa04630  JakStatSignaling          http://www.genome.jp/kegg-bin/show_pathway?hsa04630
hsa04060  CytokineReceptor          http://www.genome.jp/kegg-bin/show_pathway?hsa04060
hsa04510  FocalAdhesion             http://www.genome.jp/kegg-bin/show_pathway?hsa04510
hsa04512  EcmReceptor               http://www.genome.jp/kegg-bin/show_pathway?hsa04512
hsa04310  WntSignaling              http://www.genome.jp/kegg-bin/show_pathway?hsa04310
hsa05210  ColorectalCancer          http://www.genome.jp/kegg-bin/show_pathway?hsa05210
hsa05212  PancreaticCancer          http://www.genome.jp/kegg-bin/show_pathway?hsa05212
hsa05214  GliomaCancer              http://www.genome.jp/kegg-bin/show_pathway?hsa05214
hsa05216  ThyroidCancer             http://www.genome.jp/kegg-bin/show_pathway?hsa05216
hsa05221  AmlCancer                 http://www.genome.jp/kegg-bin/show_pathway?hsa05221
hsa05220  CmlCancer                 http://www.genome.jp/kegg-bin/show_pathway?hsa05220
hsa05217  BasalCellCancer           http://www.genome.jp/kegg-bin/show_pathway?hsa05217
hsa05218  MelanomaCancer            http://www.genome.jp/kegg-bin/show_pathway?hsa05218
hsa05211  RenalCellCancer           http://www.genome.jp/kegg-bin/show_pathway?hsa05211
hsa05219  BladderCancer             http://www.genome.jp/kegg-bin/show_pathway?hsa05219
hsa05215  ProstateCancer            http://www.genome.jp/kegg-bin/show_pathway?hsa05215
hsa05213  EndometrialCancer         http://www.genome.jp/kegg-bin/show_pathway?hsa05213
hsa05222  SmallCellLungCancer       http://www.genome.jp/kegg-bin/show_pathway?hsa05222
hsa05223  NonSmallCellLungCancer   http://www.genome.jp/kegg-bin/show_pathway?hsa05223
