Name	ReadableName	Members
Kinase	Kinase	Kinase_GO0016301,Kinase_KinBase,Kinase_Kincat,Kinase_RonBose,ProteinKinase_Entrez,LipidKinase_GO0001727,ReceptorTyrosineKinases_RonBose,SerineThreonineKinase_GO0004674,TyrosineKinase_Entrez,TyrosineKinase_GO0004713,TyrosineKinase_RonBose
Phosphatase	Phosphatase	Phosphatase_Entrez,ProteinPhosphatase_GO0004721
Transporter	Transporter	IonChannel_GO0005216,Transporter_GO0005215
HormoneRelated	Hormone Related	HormoneActivity_GO0005179,NuclearHormoneReceptor_GO0004879
CellSurface	Cell Surface	CellSurface_GO0009986,ExternalSideOfPlasmaMembrane_GO0009897
ResponseToDrug	Response to Drug	DrugResistance_GO0042493,ABCTransporter_GO0042626,DrugMetabolism_GO0017144,ResponseToDrug_GO0042493
TranscriptionFactor	Transcription Factor	TranscriptionFactorBinding_GO0008134,TranscriptionFactorComplex_GO0005667,TranscriptionFactors_Factorbook,TranscriptionFactors_Tfcat
CancerGene	Cancer Gene	CancerGeneCensus_Sanger,CancerGenes_Futreal2004,CancerGenes_HahnAndWeinberg2002,CancerGenes_Mitelman2000,CancerGenes_Vogelstein2004,Oncogene_Entrez,TumorSuppresor_Entrez,TumorSuppressor_GO0051726,RegulationOfCellCycle_GO0051726
TumorSuppressor	Tumor Suppressor	TumorSuppresor_Entrez,TumorSuppressor_GO0051726,RegulationOfCellCycle_GO0051726
CancerPathwayKEGG	Cancer Pathway (KEGG)	AdherensJunction_KEGGhsa04520,AmlCancer_KEGGhsa05221,Apoptosis_KEGGhsa04210,BasalCellCancer_KEGGhsa05217,BladderCancer_KEGGhsa05219,CellCycle_KEGGhsa04110,CmlCancer_KEGGhsa05220,ColorectalCancer_KEGGhsa05210,CytokineReceptor_KEGGhsa04060,ERBBSignaling_KEGGhsa04012,EcmReceptor_KEGGhsa04512,EndometrialCancer_KEGGhsa05213,FocalAdhesion_KEGGhsa04510,GliomaCancer_KEGGhsa05214,JakStatSignaling_KEGGhsa04630,MAPKSignaling_KEGGhsa04010,MelanomaCancer_KEGGhsa05218,NonSmallCellLungCancer_KEGGhsa05223,PPARSignaling_KEGGhsa03320,PancreaticCancer_KEGGhsa05212,ProstateCancer_KEGGhsa05215,RenalCellCancer_KEGGhsa05211,SmallCellLungCancer_KEGGhsa05222,TGFbetaSignaling_KEGGhsa04350,TP53Signaling_KEGGhsa04115,ThyroidCancer_KEGGhsa05216,VEGFSignaling_KEGGhsa04370,WntSignaling_KEGGhsa04310,mTORSignaling_KEGGhsa04150
CancerPathwayCCMP	Cancer Pathway (CCPM)	Alpha6Beta4IntegrinPathway_CCMP,AndrogenReceptorPathway_CCMP,EGFR1Pathway_CCMP,HedgehogPathway_CCMP,IDPathway_CCMP,KitReceptorPathway_CCMP,NotchPathway_CCMP,TGFBRPathway_CCMP,TNFAlphaNFkBPathway_CCMP,WntPathway_CCMP
ABCTransporter_GO0042626	ABC Transporter (GO)	ABCTransporter_GO0042626
AdherensJunction_KEGGhsa04520	Adherens Junction Pathway (KEGG)	AdherensJunction_KEGGhsa04520
Alpha6Beta4IntegrinPathway_CCMP	Alpha6Beta4 Integrin Pathway (CCMP)	Alpha6Beta4IntegrinPathway_CCMP
AmlCancer_KEGGhsa05221	AML Cancer Pathway (KEGG)	AmlCancer_KEGGhsa05221
Amplification_SangerCGC	Amplification (CGC)	Amplification_SangerCGC
AndrogenReceptorPathway_CCMP	Androgen Receptor Pathway (CCMP)	AndrogenReceptorPathway_CCMP
AntineoplasticTargets_DrugBank	Antineoplastic Targets (DrugBank)	AntineoplasticTargets_DrugBank
Apoptosis_KEGGhsa04210	Apoptosis Pathway (KEGG)	Apoptosis_KEGGhsa04210
BasalCellCancer_KEGGhsa05217	Basal Cell Cancer Pathway (KEGG)	BasalCellCancer_KEGGhsa05217
BladderCancer_KEGGhsa05219	Bladder Cancer Pathway (KEGG)	BladderCancer_KEGGhsa05219
CancerGeneCensusPlus_Sanger	Cancer Gene Census Plus (MG)	CancerGeneCensusPlus_Sanger
CancerGeneCensus_Sanger	Cancer Gene Census (Sanger)	CancerGeneCensus_Sanger
CancerGenes_Futreal2004	Cancer Genes (Futreal review)	CancerGenes_Futreal2004
CancerGenes_HahnAndWeinberg2002	Cancer Genes (Hann and Weinberg review)	CancerGenes_HahnAndWeinberg2002
CancerGenes_Mitelman2000	Cancer Genes (Mitelman review)	CancerGenes_Mitelman2000
CancerGenes_Vogelstein2004	Cancer Genes (Vogelstein review)	CancerGenes_Vogelstein2004
CellCycle_KEGGhsa04110	Cell Cycle (GO)	CellCycle_KEGGhsa04110
CellSurface_GO0009986	Cell Surface (GO)	CellSurface_GO0009986
CmlCancer_KEGGhsa05220	CML Cancer Pathway (KEGG)	CmlCancer_KEGGhsa05220
ColorectalCancer_KEGGhsa05210	Colorectal Cancer Pathway (KEGG)	ColorectalCancer_KEGGhsa05210
CytokineReceptor_KEGGhsa04060	Cytokine Receptor Pathway (KEGG)	CytokineReceptor_KEGGhsa04060
DNARepair_GO0006281	DNA Repair (GO)	DNARepair_GO0006281
DrugMetabolism_GO0017144	Drug Metabolism (GO)	DrugMetabolism_GO0017144
DrugResistance_GO0042493	Drug Resistance (GO)	DrugResistance_GO0042493
Druggable_RussLampel	Druggable (Russ and Lampel)	Druggable_RussLampel
EGFR1Pathway_CCMP	EGFR1 Pathway (CCMP)	EGFR1Pathway_CCMP
ERBBSignaling_KEGGhsa04012	ERBB Signaling Pathway (KEGG)	ERBBSignaling_KEGGhsa04012
EcmReceptor_KEGGhsa04512	ECM Receptor Pathway (KEGG)	EcmReceptor_KEGGhsa04512
EndometrialCancer_KEGGhsa05213	Endometrial Cancer Pathway (KEGG)	EndometrialCancer_KEGGhsa05213
ExternalSideOfPlasmaMembrane_GO0009897	External Side Of Plasma Membrane (GO)	ExternalSideOfPlasmaMembrane_GO0009897
FocalAdhesion_KEGGhsa04510	Focal Adhesion Pathway (KEGG)	FocalAdhesion_KEGGhsa04510
FrameshiftMutation_SangerCGC	Frameshift Mutation (CGC)	FrameshiftMutation_SangerCGC
