Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources
166	AK095154	amino-terminal enhancer of split	NM_198969, NM_198970, NM_001130	NP_945320.1, NP_945321.1, NP_001121.2	ENSG00000104964	chr19:3007329 - 3007665	multicellular organismal development;negative regulation of transcription;nucleus;organ morphogenesis;protein binding;regulation of growth;regulation of transcription from RNA polymerase II promoter;skeletal development;transcription;transcription corepressor activity;transcription regulator activity;Wnt receptor signaling pathway	Androgen Receptor
207	AKT1	v-akt murine thymoma viral oncogene homolog 1	NM_001014431	NP_005154.2	ENSG00000142208	chr14:104307722 - 104330025	anagen;apoptosis;apoptotic mitochondrial changes;ATP binding;carbohydrate metabolic process;cytoplasm;G-protein coupled receptor protein signaling pathway;germ cell development;glucose metabolic process;glucose transport;glycogen biosynthetic process;identical protein binding;inflammatory response;insulin receptor signaling pathway;insulin-like growth factor receptor signaling pathway;lamellipodium;nitric oxide biosynthetic process;nucleotide binding;nucleus;peptidyl-serine phosphorylation;protein amino aci	Alpha6Beta4 Integrin,  Androgen Receptor,  EGFR1,  Kit Receptor,  TNF_alpha_NF_kB,  Wnt,  Hahn and Weinberg 2002,  Protein Kinase,  Stability,  Tumor Suppressor,  Entrez Query:Oncogene
26060	APPL1	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1	NM_012096	NP_036228.1	ENSG00000157500	chr3:57236951 - 57278755	cell cycle;cell proliferation;cytoplasm;endosome membrane;membrane;nucleus;NuRD complex;protein binding;signal transduction	Androgen Receptor,  EGFR1,  Protein Kinase
367	AR	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)	NM_000044, NM_001011645	NP_000035.2, NP_001011645.1	ENSG00000169083	chrX:66681713 - 66860408	androgen binding;androgen receptor activity;androgen receptor signaling pathway;cell growth;cell proliferation;cell-cell signaling;cytoplasm;in utero embryonic development;lipid binding;male gonad development;male somatic sex determination;metal ion binding;nucleus;prostate gland development;protein dimerization activity;receptor activity;regulation of transcription, DNA-dependent;sequence-specific DNA binding;sex differentiation;signal transduction;transcription factor activity;transport;zinc ion binding	Alpha6Beta4 Integrin,  Androgen Receptor,  TGFBR,  Stability,  Tumor Suppressor
1386	ATF2	activating transcription factor 2	NM_001880	NP_001871.2	ENSG00000115966	chr2:175647582 - 175709417	intracellular;metal ion binding;nucleus;protein dimerization activity;regulation of transcription, DNA-dependent;RNA polymerase II transcription factor activity;sequence-specific DNA binding;transcription;transcription coactivator activity;transcription factor activity;zinc ion binding	Androgen Receptor,  TGFBR,  Stability
573	BAG1	BCL2-associated athanogene	NM_004323	NP_004314.4	ENSG00000107262	chr9:33245216 - 33254672	anti-apoptosis;apoptosis;cell surface receptor linked signal transduction;cytoplasm;nucleus;protein binding;protein folding;protein modification process;receptor signaling protein activity	Androgen Receptor,  Entrez Query:Oncogene
811	CALR	calreticulin	NM_004343	NP_004334.1	ENSG00000179218	chr19:12910493 - 12915727	calcium ion binding;calcium ion homeostasis;cytosol;DNA binding;endoplasmic reticulum;endoplasmic reticulum lumen;protein export from nucleus;protein folding;regulation of apoptosis;regulation of transcription, DNA-dependent;sugar binding;unfolded protein binding;zinc ion binding	Androgen Receptor,  Stability
857	CAV1	caveolin 1, caveolae protein, 22kDa	NM_001753	NP_001744.2	ENSG00000105974	chr7:115952352 - 115986577	caveolar membrane;cholesterol binding;cholesterol homeostasis;cholesterol transport;endoplasmic reticulum;Golgi membrane;inactivation of MAPK activity;integral to membrane;integral to membrane of membrane fraction;integral to plasma membrane;lipid raft;negative regulation of endothelial cell proliferation;negative regulation of nitric oxide biosynthetic process;negative regulation of signal transduction;negative regulation of vasodilation;perinuclear region of cytoplasm;plasma membrane;positive regulation o	Androgen Receptor,  EGFR1,  TGFBR,  TNF_alpha_NF_kB,  Tumor Suppressor
595	CCND1	cyclin D1	NM_053056	NP_444284.1	ENSG00000110092	chr11:69165262 - 69175231	cell cycle;cell division;cellular_component;cyclin-dependent protein kinase holoenzyme complex;cyclin-dependent protein kinase regulator activity;cytosol;fat cell differentiation;G1/S transition of mitotic cell cycle;intracellular;nucleus;protein amino acid phosphorylation;protein binding;protein kinase activity;re-entry into mitotic cell cycle;unfolded protein response	Androgen Receptor,  TGFBR,  Futreal et al 2004,  Hahn and Weinberg 2002,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Protein Kinase,  Tumor Suppressor,  Entrez Query:Oncogene,  Translocation
902	CCNH	cyclin H	NM_001239	NP_001230.1	ENSG00000134480	chr5:86726018 - 86744367	cell cycle;DNA repair;kinase activity;nucleus;protein binding;regulation of cyclin-dependent protein kinase activity;regulation of transcription, DNA-dependent;transcription	Androgen Receptor,  Protein Kinase
983	CDC2	cell division cycle 2, G1 to S and G2 to M	NM_001786, NM_033379	NP_001777.1, NP_203698.1	ENSG00000170312	chr10:62209929 - 62223739	anti-apoptosis;ATP binding;cell cycle;cell division;cyclin-dependent protein kinase activity;midbody;mitosis;nucleotide binding;nucleus;protein amino acid phosphorylation;protein binding;regulation of progression through cell cycle;spindle microtubule;transferase activity;traversing start control point of mitotic cell cycle	Androgen Receptor,  Hedgehog,  TGFBR,  Wnt,  Protein Kinase,  Stability,  Tumor Suppressor
11140	CDC37	cell division cycle 37 homolog (S. cerevisiae)	NM_007065	NP_008996.1	ENSG00000105401	chr19:10363226 - 10375155	cytoplasm;protein folding;protein targeting;regulation of cyclin-dependent protein kinase activity;unfolded protein binding	Androgen Receptor,  TNF_alpha_NF_kB
1025	CDK9	cyclin-dependent kinase 9 (CDC2-related kinase)	NM_001261	NP_001252.1	ENSG00000136807	chr9:129588248 - 129591643	ATP binding;cell proliferation;cyclin-dependent protein kinase activity;DNA binding;nucleotide binding;nucleus;protein amino acid phosphorylation;protein binding;regulation of progression through cell cycle;regulation of transcription, DNA-dependent;RNA elongation from RNA polymerase II promoter;snRNA binding;transcription;transcription elongation factor complex;transcription initiation from RNA polymerase II promoter;transferase activity	Androgen Receptor,  Protein Kinase
1329	COX5B	cytochrome c oxidase subunit Vb	NM_001862	NP_001853.2	ENSG00000135940	chr2:97628981 - 97631003	cytochrome-c oxidase activity;electron transport;membrane;metal ion binding;mitochondrial envelope;mitochondrion;oxidoreductase activity;respiratory gaseous exchange;zinc ion binding	Androgen Receptor
1387	CREBBP	CREB binding protein (Rubinstein-Taybi syndrome)	NM_004380, NM_001079846	NP_004371.2, NP_001073315.1	ENSG00000005339	chr16:3717719 - 3869918	acetyltransferase activity;cytoplasm;histone acetylation;histone acetyltransferase activity;homeostatic process;metal ion binding;MyoD binding;N-terminal peptidyl-lysine acetylation;nucleus;positive regulation of transcription;protein binding;protein complex assembly;regulation of transcription, DNA-dependent;response to hypoxia;signal transducer activity;signal transduction;transcription coactivator activity;transcription factor activity;transferase activity;zinc ion binding	Androgen Receptor,  Hedgehog,  TGFBR,  TNF_alpha_NF_kB,  Futreal et al 2004,  Mitelman 2000,  Stability,  Tumor Suppressor,  Translocation
