Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources
10006	ABI1	abl-interactor 1	NM_001012750, NM_005470, NM_001012752, NM_001012751	NP_001012768.1, NP_005461.2, NP_001012770.1, NP_001012769.1	ENSG00000136754	chr10:27077504 - 27189798	cytoskeletal protein binding;cytoskeleton;cytosol;endoplasmic reticulum;negative regulation of cell proliferation;nucleus;soluble fraction;transmembrane receptor protein tyrosine kinase signaling pathway	EGFR1,  Futreal et al 2004,  Mitelman 2000,  Stability,  Translocation
160	AK090661	adaptor-related protein complex 2, alpha 1 subunit	NM_130787, NM_014203	NP_570603.2, NP_055018.2	ENSG00000196961	chr19:54996893 - 54997650	AP-2 adaptor complex;clathrin coat of trans-Golgi network vesicle;coated pit;endocytosis;Golgi to endosome transport;intracellular protein transport;protein complex assembly;structural molecule activity	EGFR1
207	AKT1	v-akt murine thymoma viral oncogene homolog 1	NM_001014431	NP_005154.2	ENSG00000142208	chr14:104307722 - 104330025	anagen;apoptosis;apoptotic mitochondrial changes;ATP binding;carbohydrate metabolic process;cytoplasm;G-protein coupled receptor protein signaling pathway;germ cell development;glucose metabolic process;glucose transport;glycogen biosynthetic process;identical protein binding;inflammatory response;insulin receptor signaling pathway;insulin-like growth factor receptor signaling pathway;lamellipodium;nitric oxide biosynthetic process;nucleotide binding;nucleus;peptidyl-serine phosphorylation;protein amino aci	Alpha6Beta4 Integrin,  Androgen Receptor,  EGFR1,  Kit Receptor,  TNF_alpha_NF_kB,  Wnt,  Hahn and Weinberg 2002,  Protein Kinase,  Stability,  Tumor Suppressor,  Entrez Query:Oncogene
26060	APPL1	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1	NM_012096	NP_036228.1	ENSG00000157500	chr3:57236951 - 57278755	cell cycle;cell proliferation;cytoplasm;endosome membrane;membrane;nucleus;NuRD complex;protein binding;signal transduction	Androgen Receptor,  EGFR1,  Protein Kinase
55198	APPL2	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2	NM_018171	NP_060641.2	ENSG00000136044	chr12:104092221 - 104153920	cell cycle;cell proliferation;cytoplasm;endosome membrane;membrane;nucleus;NuRD complex;protein binding;signal transduction	EGFR1
369	ARAF	v-raf murine sarcoma 3611 viral oncogene homolog	NM_001654	NP_001645.1	ENSG00000078061	chrX:47307310 - 47315800	ATP binding;cellular_component;diacylglycerol binding;intracellular signaling cascade;metal ion binding;nucleotide binding;protein amino acid phosphorylation;protein binding;protein modification process;protein serine/threonine kinase activity;receptor signaling protein activity;transferase activity;zinc ion binding	EGFR1,  Entrez Query:Oncogene
378	ARF4	ADP-ribosylation factor 4	NM_001660	NP_001651.1	ENSG00000168374	chr3:57532978 - 57557907	cytoplasm;enzyme activator activity;ER to Golgi vesicle-mediated transport;GTP binding;GTPase activity;intracellular;nucleotide binding;plasma membrane;protein transport;small GTPase mediated signal transduction	EGFR1
466	ATF1	activating transcription factor 1	NM_005171	NP_005162.1	ENSG00000123268	chr12:49460195 - 49499829	nucleus;protein dimerization activity;regulation of transcription, DNA-dependent;sequence-specific DNA binding;transcription;transcription factor activity	EGFR1,  Futreal et al 2004,  Mitelman 2000,  Entrez Query:Oncogene,  Translocation
9564	BCAR1	breast cancer anti-estrogen resistance 1	NM_014567	NP_055382.2	ENSG00000050820	chr16:73820909 - 73842881	actin filament organization;B cell receptor signaling pathway;cell adhesion;cell division;cell migration;cell proliferation;cytoplasm;epidermal growth factor receptor signaling pathway;focal adhesion;G-protein coupled receptor protein signaling pathway;insulin receptor signaling pathway;integrin-mediated signaling pathway;lamellipodium;membrane fraction;nerve growth factor receptor signaling pathway;platelet-derived growth factor receptor signaling pathway;positive regulation of cell migration;protein bindi	EGFR1,  Tumor Suppressor
815	CAMK2A	calcium/calmodulin-dependent protein kinase (CaM kinase) II alpha	NM_015981, NM_171825	NP_057065.2, NP_741960.1	ENSG00000070808	chr5:149582465 - 149649381	activation of NF-kappaB transcription factor;ATP binding;calcium- and calmodulin-dependent protein kinase complex;calmodulin binding;nucleotide binding;protein amino acid phosphorylation;protein serine/threonine kinase activity;transferase activity	EGFR1,  TGFBR,  Wnt,  Protein Kinase
842	CASP9	caspase 9, apoptosis-related cysteine peptidase	NM_032996, NM_001229	NP_127463.1, NP_001220.2	ENSG00000132906	chr1:15692024 - 15723282	apoptotic program;caspase activation via cytochrome c;caspase activity;cysteine-type peptidase activity;enzyme activator activity;intracellular;protein binding;proteolysis;regulation of apoptosis	EGFR1
