Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources
64682	ANAPC1	anaphase promoting complex subunit 1	NM_022662	NP_073153.1	ENSG00000153107	chr2:112243338 - 112354873	cell cycle;cell division;mitosis;nucleus;protein binding;regulation of progression through cell cycle;ubiquitin cycle	TGFBR,  Stability
10393	ANAPC10	anaphase promoting complex subunit 10	NM_014885	NP_055700.2	ENSG00000164162	chr4:146135974 - 146236701	anaphase-promoting complex;cell cycle;cell division;G2/M transition of mitotic cell cycle;mitotic anaphase;protein binding;regulation of mitotic metaphase/anaphase transition;regulation of progression through cell cycle;ubiquitin cycle;ubiquitin-dependent protein catabolic process;ubiquitin-protein ligase activity	TGFBR
29882	ANAPC2	anaphase promoting complex subunit 2	NM_013366	NP_037498.1	ENSG00000176248	chr9:139189214 - 139202805	cell cycle;cell division;cyclin catabolic process;G1 phase of mitotic cell cycle;mitosis;regulation of cyclin-dependent protein kinase activity;ubiquitin cycle;ubiquitin-dependent protein catabolic process;ubiquitin-protein ligase activity	TGFBR,  Protein Kinase
29945	ANAPC4	anaphase promoting complex subunit 4	NM_013367	NP_037499.2	ENSG00000053900	chr4:24988147 - 25029102	anaphase-promoting complex;cell cycle;cell division;G2/M transition of mitotic cell cycle;mitotic anaphase;regulation of progression through cell cycle;ubiquitin cycle;ubiquitin-dependent protein catabolic process;ubiquitin-protein ligase activity	TGFBR,  Stability
51433	ANAPC5	anaphase promoting complex subunit 5	NM_016237	NP_057321.2	ENSG00000089053	chr12:120230665 - 120274526	anaphase-promoting complex;binding;cell cycle;cell division;G2/M transition of mitotic cell cycle;mitotic anaphase;regulation of progression through cell cycle;ubiquitin cycle;ubiquitin-dependent protein catabolic process;ubiquitin-protein ligase activity	TGFBR,  Stability
51434	ANAPC7	anaphase promoting complex subunit 7	NM_016238	NP_057322.2	ENSG00000196510	chr12:109296331 - 109325815	anaphase-promoting complex;cell cycle;cell division;mitosis;protein binding;regulation of progression through cell cycle;ubiquitin cycle	TGFBR,  Stability
367	AR	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)	NM_000044, NM_001011645	NP_000035.2, NP_001011645.1	ENSG00000169083	chrX:66681713 - 66860408	androgen binding;androgen receptor activity;androgen receptor signaling pathway;cell growth;cell proliferation;cell-cell signaling;cytoplasm;in utero embryonic development;lipid binding;male gonad development;male somatic sex determination;metal ion binding;nucleus;prostate gland development;protein dimerization activity;receptor activity;regulation of transcription, DNA-dependent;sequence-specific DNA binding;sex differentiation;signal transduction;transcription factor activity;transport;zinc ion binding	Alpha6Beta4 Integrin,  Androgen Receptor,  TGFBR,  Stability,  Tumor Suppressor
409	ARRB2	arrestin, beta 2	NM_004313, NM_199004	NP_004304.1, NP_945355.1	ENSG00000141480	chr17:4560765 - 4571083	cytoplasm;nucleus;plasma membrane;protein binding;response to stimulus;sensory perception;signal transduction	TGFBR,  Wnt,  Stability,  Tumor Suppressor
1386	ATF2	activating transcription factor 2	NM_001880	NP_001871.2	ENSG00000115966	chr2:175647582 - 175709417	intracellular;metal ion binding;nucleus;protein dimerization activity;regulation of transcription, DNA-dependent;RNA polymerase II transcription factor activity;sequence-specific DNA binding;transcription;transcription coactivator activity;transcription factor activity;zinc ion binding	Androgen Receptor,  TGFBR,  Stability
467	ATF3	activating transcription factor 3	NM_001674, NM_004024	NP_001665.1, NP_004015.4	ENSG00000162772	chr1:210854986 - 210859520	DNA binding;nucleus;protein dimerization activity;regulation of transcription, DNA-dependent;sequence-specific DNA binding;transcription;transcription corepressor activity;transcription factor activity	ID,  TGFBR,  Stability,  Tumor Suppressor
8312	AXIN1	axin 1	NM_003502, NM_181050	NP_003493.1, NP_851393.1	ENSG00000103126	chr16:278122 - 337026	apoptosis;beta-catenin destruction complex;cell cycle;cytoplasm;intracellular;lateral plasma membrane;multicellular organismal development;negative regulation of progression through cell cycle;nucleus;oocyte axis determination;protein binding;signal transducer activity;Wnt receptor signaling pathway through beta-catenin	TGFBR,  Wnt,  Tumor Suppressor
8313	AXIN2	axin 2 (conductin, axil)	NM_004655	NP_004646.3	ENSG00000168646	chr17:60956555 - 60985200	intracellular;multicellular organismal development;nucleus;signal transducer activity;signal transduction;Wnt receptor signaling pathway	TGFBR,  Wnt,  Vogelstein and Kinzler 2004,  Protein Kinase,  Stability
8945	BTRC	beta-transducin repeat containing	NM_003939, NM_033637	NP_003930.1, NP_378663.1	ENSG00000166167	chr10:103103927 - 103300607	endoplasmic reticulum;ligase activity;protein binding;signal transduction;ubiquitin cycle;ubiquitin-dependent protein catabolic process;Wnt receptor signaling pathway	TGFBR,  TNF_alpha_NF_kB,  Wnt,  Stability,  Tumor Suppressor
815	CAMK2A	calcium/calmodulin-dependent protein kinase (CaM kinase) II alpha	NM_015981, NM_171825	NP_057065.2, NP_741960.1	ENSG00000070808	chr5:149582465 - 149649381	activation of NF-kappaB transcription factor;ATP binding;calcium- and calmodulin-dependent protein kinase complex;calmodulin binding;nucleotide binding;protein amino acid phosphorylation;protein serine/threonine kinase activity;transferase activity	EGFR1,  TGFBR,  Wnt,  Protein Kinase
816	CAMK2B	calcium/calmodulin-dependent protein kinase (CaM kinase) II beta	NM_172080, NM_172083, NM_172079, NM_172081, NM_172084, NM_172082, NM_172078, NM_001220	NP_742077.1, NP_742080.1, NP_742076.1, NP_742078.1, NP_742081.1, NP_742079.1, NP_742075.1, NP_001211.3	ENSG00000058404	chr7:44226185 - 44331545	ATP binding;calmodulin binding;nucleotide binding;protein amino acid phosphorylation;protein serine/threonine kinase activity;signal transduction;transferase activity	TGFBR,  Wnt,  Protein Kinase
817	CAMK2D	calcium/calmodulin-dependent protein kinase (CaM kinase) II delta	NM_172128, NM_172127, NM_001221	NP_742126.1, NP_742125.1, NP_001212.2	ENSG00000145349	chr4:114596359 - 114901673	ATP binding;calcium- and calmodulin-dependent protein kinase complex;calmodulin binding;kinase activity;nucleotide binding;protein amino acid phosphorylation;protein serine/threonine kinase activity;regulation of cell growth;transferase activity	TGFBR,  Wnt,  Protein Kinase
818	CAMK2G	calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma	NM_001222, NM_172169, NM_172173, NM_172171, NM_172170	NP_001213.2, NP_751909.1, NP_751913.1, NP_751911.1, NP_751910.1	ENSG00000148660	chr10:75244778 - 75304225	ATP binding;calcium- and calmodulin-dependent protein kinase complex;calcium-dependent protein serine/threonine phosphatase activity;calmodulin binding;cellular_component;insulin secretion;nucleotide binding;protein amino acid phosphorylation;protein serine/threonine kinase activity;signal transduction;transferase activity	TGFBR,  Wnt,  Protein Kinase
857	CAV1	caveolin 1, caveolae protein, 22kDa	NM_001753	NP_001744.2	ENSG00000105974	chr7:115952352 - 115986577	caveolar membrane;cholesterol binding;cholesterol homeostasis;cholesterol transport;endoplasmic reticulum;Golgi membrane;inactivation of MAPK activity;integral to membrane;integral to membrane of membrane fraction;integral to plasma membrane;lipid raft;negative regulation of endothelial cell proliferation;negative regulation of nitric oxide biosynthetic process;negative regulation of signal transduction;negative regulation of vasodilation;perinuclear region of cytoplasm;plasma membrane;positive regulation o	Androgen Receptor,  EGFR1,  TGFBR,  TNF_alpha_NF_kB,  Tumor Suppressor
9133	CCNB2	cyclin B2	NM_004701	NP_004692.1	ENSG00000157456	chr15:57184759 - 57204368	cell cycle;cell division;microtubule cytoskeleton;mitosis;nucleus;protein binding;regulation of progression through cell cycle	TGFBR
595	CCND1	cyclin D1	NM_053056	NP_444284.1	ENSG00000110092	chr11:69165262 - 69175231	cell cycle;cell division;cellular_component;cyclin-dependent protein kinase holoenzyme complex;cyclin-dependent protein kinase regulator activity;cytosol;fat cell differentiation;G1/S transition of mitotic cell cycle;intracellular;nucleus;protein amino acid phosphorylation;protein binding;protein kinase activity;re-entry into mitotic cell cycle;unfolded protein response	Androgen Receptor,  TGFBR,  Futreal et al 2004,  Hahn and Weinberg 2002,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Protein Kinase,  Tumor Suppressor,  Entrez Query:Oncogene,  Translocation
960	CD44	CD44 molecule (Indian blood group)	NM_001001389, NM_001001392, NM_001001390, NM_000610, NM_001001391	NP_001001389.1, NP_001001392.1, NP_001001390.1, NP_000601.3, NP_001001391.1	ENSG00000026508	chr11:35117426 - 35207456	cell adhesion;cell-cell adhesion;cell-matrix adhesion;cellular_component;collagen binding;hyaluronic acid binding;integral to plasma membrane;membrane;molecular_function;receptor activity	TGFBR
8881	CDC16	cell division cycle 16 homolog (S. cerevisiae)	NM_001078645	NP_003894.3	ENSG00000130177	chr13:114018661 - 114056020	binding;cell cycle;cell division;cell proliferation;centrosome;cytoplasm;regulation of mitosis;spindle microtubule;ubiquitin cycle	TGFBR
983	CDC2	cell division cycle 2, G1 to S and G2 to M	NM_001786, NM_033379	NP_001777.1, NP_203698.1	ENSG00000170312	chr10:62209929 - 62223739	anti-apoptosis;ATP binding;cell cycle;cell division;cyclin-dependent protein kinase activity;midbody;mitosis;nucleotide binding;nucleus;protein amino acid phosphorylation;protein binding;regulation of progression through cell cycle;spindle microtubule;transferase activity;traversing start control point of mitotic cell cycle	Androgen Receptor,  Hedgehog,  TGFBR,  Wnt,  Protein Kinase,  Stability,  Tumor Suppressor
8697	CDC23	cell division cycle 23 homolog (S. cerevisiae)	NM_004661	NP_004652.2	ENSG00000094880	chr5:137552565 - 137576900	anaphase-promoting complex;binding;cell cycle;cell division;G1 phase of mitotic cell cycle;intracellular;mitotic metaphase plate congression;regulation of exit from mitosis;regulation of mitotic metaphase/anaphase transition;regulation of progression through cell cycle;ubiquitin cycle;ubiquitin-dependent protein catabolic process;ubiquitin-protein ligase activity	TGFBR
993	CDC25A	cell division cycle 25 homolog A (S. pombe)	NM_201567, NM_001789	NP_963861.1, NP_001780.2	ENSG00000164045	chr3:48175438 - 48204441	cell cycle;cell division;cell proliferation;cellular_component;hydrolase activity;intracellular;mitosis;protein amino acid dephosphorylation;protein binding;protein tyrosine phosphatase activity;regulation of cyclin-dependent protein kinase activity	TGFBR,  Phosphatase,  Protein Kinase,  Stability,  Entrez Query:Oncogene
996	CDC27	cell division cycle 27 homolog (S. cerevisiae)	NM_001114091, NM_001256	NP_001107563.1, NP_001247.3	ENSG00000004897	chr17:42553299 - 42621537	anaphase-promoting complex;cell proliferation;centrosome;cytoplasm;mitotic metaphase/anaphase transition;nucleus;protein binding;spindle microtubule	TGFBR
1017	CDK2	cyclin-dependent kinase 2	NM_052827, NM_001798	NP_439892.2, NP_001789.2	ENSG00000123374	chr12:54647059 - 54651676	ATP binding;cell cycle;cell division;cyclin-dependent protein kinase activity;cytoplasm;G2/M transition of mitotic cell cycle;identical protein binding;mitosis;nucleotide binding;nucleus;positive regulation of cell proliferation;protein amino acid phosphorylation;protein serine/threonine kinase activity;regulation of DNA replication;transferase activity;traversing start control point of mitotic cell cycle	ID,  TGFBR,  Hahn and Weinberg 2002,  Protein Kinase,  Stability,  Tumor Suppressor
1019	CDK4	cyclin-dependent kinase 4	NM_000075	NP_000066.1	ENSG00000135446	chr12:56428574 - 56431767	ATP binding;cell cycle;cell division;cell proliferation;cyclin-dependent protein kinase activity;G1/S transition of mitotic cell cycle;nucleotide binding;nucleus;protein amino acid phosphorylation;protein binding;protein kinase activity;regulation of progression through cell cycle;transferase activity	TGFBR,  Futreal et al 2004,  Hahn and Weinberg 2002,  Vogelstein and Kinzler 2004,  Stability,  Missense mutation
