UniProtKB	P13569	CFTR		GO:0005260	PMID:11707463	NAS		F	Cystic fibrosis transmembrane conductance regulator	ABCC7|CFTR|CFTR_HUMAN|IPI00815998|IPI00816721|IPI00816790|Q20BG8|Q20BH2|Q2I0A1|Q2I102	protein	taxon:9606	20031216	UniProtKB
UniProtKB	P23415	GLRA1		GO:0022824	GO_REF:0000002|InterPro:IPR008127	IEA	InterPro:IPR008127	F	Glycine receptor subunit alpha-1	B2R6T3|GLRA1|GLRA1_HUMAN|IPI00011565|IPI00795343|Q14C77|Q6DJV9	protein	taxon:9606	20120107	InterPro
UniProtKB	O75311	GLRA3		GO:0022824	GO_REF:0000002|InterPro:IPR008127	IEA	InterPro:IPR008127	F	Glycine receptor subunit alpha-3	D3DP44|GLRA3|GLRA3_HUMAN|IPI00025243|IPI00216193|O75816|Q5D0E3	protein	taxon:9606	20120107	InterPro
UniProtKB	P23416	GLRA2		GO:0022824	GO_REF:0000002|InterPro:IPR008127	IEA	InterPro:IPR008127	F	Glycine receptor subunit alpha-2	A8K0J6|B2R6I8|GLRA2|GLRA2_HUMAN|IPI00011566|IPI00220450|Q53YX7|Q6ICQ0|Q99862	protein	taxon:9606	20120107	InterPro
UniProtKB	Q5JXX5	GLRA4		GO:0022824	GO_REF:0000002|InterPro:IPR008127	IEA	InterPro:IPR008127	F	Glycine receptor subunit alpha-4	GLRA4|GLRA4_HUMAN|IPI00456931	protein	taxon:9606	20120107	InterPro
UniProtKB	B9WSA6	GLRA4		GO:0022824	GO_REF:0000002|InterPro:IPR008127	IEA	InterPro:IPR008127	F	Uncharacterized protein	B9WSA6_HUMAN|GLRA4|IPI00456931	protein	taxon:9606	20120107	InterPro
UniProtKB	C9JBL4	GLRA2		GO:0022824	GO_REF:0000002|InterPro:IPR008127	IEA	InterPro:IPR008127	F	Uncharacterized protein	C9JBL4_HUMAN|GLRA2|IPI00643998	protein	taxon:9606	20120107	InterPro
UniProtKB	Q14C71	GLRA1		GO:0022824	GO_REF:0000002|InterPro:IPR008127	IEA	InterPro:IPR008127	F	Uncharacterized protein	GLRA1|IPI01014809|Q14C71_HUMAN	protein	taxon:9606	20120107	InterPro
UniProtKB	F5H0P6	TPCN2		GO:0072345	GO_REF:0000019|Ensembl:ENSMUSP00000061308	IEA	Ensembl:ENSMUSP00000061308	F	Uncharacterized protein	F5H0P6_HUMAN|IPI01018729|TPCN2	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	Q8NHX9	TPCN2		GO:0072345	PMID:19387438	IDA		F	Two pore calcium channel protein 2	IPI00169371|Q9NT82|TPC2|TPC2_HUMAN|TPCN2	protein	taxon:9606	20110616	UniProtKB
