Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources
10270	AKAP8	A kinase (PRKA) anchor protein 8	NM_005858	NP_005849.1	ENSG00000105127	chr19:15326725 - 15351542	condensed chromosome;DNA binding;female pronucleus;intracellular;membrane;metal ion binding;mitosis;mitotic chromosome condensation;nucleus;protein kinase A binding;signal transduction;sugar porter activity;transport;zinc ion binding	TNF_alpha_NF_kB,  Protein Kinase
207	AKT1	v-akt murine thymoma viral oncogene homolog 1	NM_001014431	NP_005154.2	ENSG00000142208	chr14:104307722 - 104330025	anagen;apoptosis;apoptotic mitochondrial changes;ATP binding;carbohydrate metabolic process;cytoplasm;G-protein coupled receptor protein signaling pathway;germ cell development;glucose metabolic process;glucose transport;glycogen biosynthetic process;identical protein binding;inflammatory response;insulin receptor signaling pathway;insulin-like growth factor receptor signaling pathway;lamellipodium;nitric oxide biosynthetic process;nucleotide binding;nucleus;peptidyl-serine phosphorylation;protein amino aci	Alpha6Beta4 Integrin,  Androgen Receptor,  EGFR1,  Kit Receptor,  TNF_alpha_NF_kB,  Wnt,  Hahn and Weinberg 2002,  Protein Kinase,  Stability,  Tumor Suppressor,  Entrez Query:Oncogene
208	AKT2	v-akt murine thymoma viral oncogene homolog 2	NM_001626	NP_001617.1	ENSG00000105221	chr19:45431618 - 45463014	ATP binding;lamellipodium;nucleotide binding;protein amino acid phosphorylation;protein binding;protein modification process;protein serine/threonine kinase activity;regulation of JNK cascade;transferase activity	TNF_alpha_NF_kB,  Futreal et al 2004,  Vogelstein and Kinzler 2004,  Protein Kinase,  Entrez Query:Oncogene,  Amplification
64343	AZI2	5-azacytidine induced 2	NM_022461	NP_071906.1	ENSG00000163512	chr3:28340536 - 28357112		TNF_alpha_NF_kB
9530	BAG4	BCL2-associated athanogene 4	NM_004874	NP_004865.1	ENSG00000156735	chr8:38153544 - 38187168	anti-apoptosis;apoptosis;protein binding;protein folding;receptor signaling protein activity	TNF_alpha_NF_kB
602	BCL3	B-cell CLL/lymphoma 3	NM_005178	NP_005169.2	ENSG00000069399	chr19:49943911 - 49954712	cytoplasm;defense response to bacterium;defense response to protozoan;DNA damage response, signal transduction by p53 class mediator resulting in induction of apoptosis;extracellular matrix organization and biogenesis;follicular dendritic cell differentiation;germinal center formation;humoral immune response mediated by circulating immunoglobulin;I-kappaB kinase/NF-kappaB cascade;maintenance of protein localization in nucleus;marginal zone B cell differentiation;negative regulation of apoptosis;negative reg	TNF_alpha_NF_kB,  Futreal et al 2004,  Mitelman 2000,  Tumor Suppressor,  Entrez Query:Oncogene,  Translocation
605	BCL7A	B-cell CLL/lymphoma 7A	NM_001024808, NM_020993	NP_001019979.1, NP_066273.1	ENSG00000110987	chr12:120944380 - 120981452	actin binding	TNF_alpha_NF_kB,  Futreal et al 2004,  Mitelman 2000,  Translocation
329	BIRC2	baculoviral IAP repeat-containing 2	NM_001166	NP_001157.1	ENSG00000110330	chr11:101725795 - 101754124	anti-apoptosis;cell surface receptor linked signal transduction;intracellular;metal ion binding;placenta development;positive regulation of I-kappaB kinase/NF-kappaB cascade;protein binding;regulation of apoptosis;signal transducer activity;zinc ion binding	TNF_alpha_NF_kB
8945	BTRC	beta-transducin repeat containing	NM_003939, NM_033637	NP_003930.1, NP_378663.1	ENSG00000166167	chr10:103103927 - 103300607	endoplasmic reticulum;ligase activity;protein binding;signal transduction;ubiquitin cycle;ubiquitin-dependent protein catabolic process;Wnt receptor signaling pathway	TGFBR,  TNF_alpha_NF_kB,  Wnt,  Stability,  Tumor Suppressor
825	CAPN3	calpain 3, (p94)	NM_212465, NM_173087, NM_212467, NM_173090, NM_000070, NM_024344, NM_212464, NM_173088	NP_997630.1, NP_775110.1, NP_997632.1, NP_775113.1, NP_000061.1, NP_077320.1, NP_997629.1, NP_775111.1	ENSG00000092529	chr15:40439295 - 40491263	calcium ion binding;calpain activity;intracellular;muscle development;proteolysis;signal transducer activity	TNF_alpha_NF_kB
843	CASP10	caspase 10, apoptosis-related cysteine peptidase	NM_001230, NM_032977, NM_032974	NP_001221.2, NP_116759.2, NP_116756.2	ENSG00000003400	chr2:201758745 - 201802051	caspase activity;cysteine-type peptidase activity;identical protein binding;induction of apoptosis;protein binding;proteolysis;regulation of apoptosis	TNF_alpha_NF_kB
835	CASP2	caspase 2, apoptosis-related cysteine peptidase (neural precursor cell expressed, developmentally down-regulated 2)	NM_032983, NM_032982	NP_116765.2, NP_116764.2	ENSG00000106144	chr7:142695670 - 142712286	anti-apoptosis;apoptotic program;caspase activity;cellular_component;cysteine-type peptidase activity;enzyme binding;intracellular;protein binding;proteolysis;regulation of apoptosis	TNF_alpha_NF_kB
841	CASP8	caspase 8, apoptosis-related cysteine peptidase	NM_001228, NM_033358, NM_033355, NM_033356	NP_001219.2, NP_203522.1, NP_203519.1, NP_203520.1	ENSG00000064012	chr2:201831199 - 201859562	apoptotic program;caspase activity;cysteine-type peptidase activity;cytoskeleton;identical protein binding;mitochondrion;positive regulation of I-kappaB kinase/NF-kappaB cascade;protein binding;proteolysis;regulation of apoptosis;signal transducer activity	TNF_alpha_NF_kB,  Stability,  Tumor Suppressor,  Entrez Query:Oncogene
