Ensembl Gene ID	Ensembl Transcript ID	Associated Gene Name
ENSG00000111780	ENST00000229384	GATC
ENSG00000111780	ENST00000406065	GATC
ENSG00000201368	ENST00000364498	AC027347.5
ENSG00000208234	ENST00000385499	AC019043.8
ENSG00000176058	ENST00000333046	C9orf75
ENSG00000176058	ENST00000321773	C9orf75
ENSG00000221931	ENST00000327930	AP000868.4
ENSG00000196099	ENST00000309154	OR6M1
ENSG00000207058	ENST00000384330	AC009570.13
ENSG00000170855	ENST00000302432	TRIAP1
ENSG00000123612	ENST00000243349	ACVR1C
ENSG00000123612	ENST00000335450	ACVR1C
ENSG00000123612	ENST00000348328	ACVR1C
ENSG00000176101	ENST00000322310	SSNA1
ENSG00000112249	ENST00000324696	ASCC3
ENSG00000112249	ENST00000369162	ASCC3
ENSG00000112249	ENST00000262902	ASCC3
ENSG00000112249	ENST00000369143	ASCC3
ENSG00000112249	ENST00000324723	ASCC3
ENSG00000213022	ENST00000250366	KLK9
ENSG00000213022	ENST00000376832	KLK9
ENSG00000111775	ENST00000229379	COX6A1
ENSG00000107669	ENST00000369043	ATE1
ENSG00000107669	ENST00000224652	ATE1
ENSG00000107669	ENST00000369040	ATE1
ENSG00000166261	ENST00000336139	ZNF202
ENSG00000115165	ENST00000264192	PSCDBP
ENSG00000135097	ENST00000257552	MSI1
ENSG00000112246	ENST00000262901	SIM1
ENSG00000112246	ENST00000369208	SIM1
ENSG00000176248	ENST00000323927	ANAPC2
ENSG00000170890	ENST00000308366	PLA2G1B
ENSG00000166257	ENST00000392770	SCN3B
ENSG00000166257	ENST00000299333	SCN3B
ENSG00000129455	ENST00000391806	KLK8
ENSG00000129455	ENST00000347619	KLK8
ENSG00000129455	ENST00000291726	KLK8
ENSG00000129455	ENST00000320838	KLK8
ENSG00000213177	ENST00000392734	AL080285.6
ENSG00000184709	ENST00000371542	LRRC26
ENSG00000089163	ENST00000202967	SIRT4
ENSG00000136542	ENST00000259056	GALNT5
ENSG00000216774	ENST00000407265	RP11-255N24.1
ENSG00000213194	ENST00000392819	AC016732.7
ENSG00000206656	ENST00000383929	SNORD116-17
ENSG00000219252	ENST00000404726	RP11-255N24.4
ENSG00000166250	ENST00000299322	AP000926.6
ENSG00000166250	ENST00000392772	AP000926.6
ENSG00000155093	ENST00000389418	PTPRN2
ENSG00000155093	ENST00000389416	PTPRN2
ENSG00000155093	ENST00000389413	PTPRN2
ENSG00000155093	ENST00000404321	PTPRN2
ENSG00000155093	ENST00000403757	PTPRN2
ENSG00000201061	ENST00000364191	AL138693.45
ENSG00000169035	ENST00000304045	KLK7
ENSG00000169035	ENST00000391807	KLK7
ENSG00000169035	ENST00000336317	KLK7
ENSG00000199090	ENST00000362220	AP000744.4
ENSG00000152034	ENST00000281806	MCHR2
ENSG00000152034	ENST00000369212	MCHR2
ENSG00000215938	ENST00000401119	AL590431.11
ENSG00000221331	ENST00000408404	AL731559.8
ENSG00000114770	ENST00000334444	ABCC5
ENSG00000114770	ENST00000265586	ABCC5
ENSG00000114770	ENST00000382495	ABCC5
ENSG00000114770	ENST00000392579	ABCC5
ENSG00000114770	ENST00000382494	ABCC5
ENSG00000114770	ENST00000392578	ABCC5
ENSG00000114770	ENST00000392577	ABCC5
ENSG00000185104	ENST00000396153	FAF1
ENSG00000185104	ENST00000345470	FAF1
ENSG00000185104	ENST00000371780	FAF1
ENSG00000185104	ENST00000371778	FAF1
ENSG00000198928	ENST00000361960	AL596275.10
ENSG00000167755	ENST00000376853	KLK6
ENSG00000167755	ENST00000310157	KLK6
ENSG00000167755	ENST00000376851	KLK6
ENSG00000167755	ENST00000391808	KLK6
ENSG00000115159	ENST00000310454	GPD2
ENSG00000208225	ENST00000385490	AC092686.3
ENSG00000208227	ENST00000385492	AC092686.3
ENSG00000175193	ENST00000317096	PARL
ENSG00000175193	ENST00000311101	PARL
ENSG00000180834	ENST00000318631	MAP6D1
ENSG00000105993	ENST00000262177	DNAJB6
ENSG00000167754	ENST00000336334	KLK5
ENSG00000167754	ENST00000391809	KLK5
ENSG00000208243	ENST00000385508	AC004975.2
ENSG00000177117	ENST00000324656	AC011483.7
ENSG00000208245	ENST00000385510	AC004898.3
ENSG00000112237	ENST00000326298	CCNC
ENSG00000112237	ENST00000369220	CCNC
ENSG00000112237	ENST00000369217	CCNC
ENSG00000089157	ENST00000228306	RPLP0
ENSG00000089157	ENST00000392514	RPLP0
ENSG00000089157	ENST00000313104	RPLP0
ENSG00000209219	ENST00000386484	AC004815.2
ENSG00000109971	ENST00000227378	HSPA8
ENSG00000109971	ENST00000392773	HSPA8
ENSG00000213184	ENST00000392776	AP003040.2
ENSG00000211401	ENST00000388666	AP003040.2
ENSG00000153234	ENST00000339562	NR4A2
ENSG00000208228	ENST00000385493	AC092662.2
ENSG00000208229	ENST00000385494	AC092662.2
ENSG00000114796	ENST00000242810	KLHL24
ENSG00000114796	ENST00000242809	KLHL24
ENSG00000167749	ENST00000324041	KLK4
ENSG00000208233	ENST00000385498	AC092662.2
ENSG00000208235	ENST00000385500	AC092662.2
ENSG00000208236	ENST00000385501	AC092662.2
ENSG00000208237	ENST00000385502	AC092662.2
ENSG00000208239	ENST00000385504	AC092662.2
ENSG00000208240	ENST00000385505	AC079256.5
