Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources
52	ACP1	acid phosphatase 1, soluble	NM_007099, NM_004300, NM_001040649	NP_009030.1, NP_004291.1, NP_001035739.1	ENSG00000143727	chr2:254964 - 267304	acid phosphatase activity;cytoplasm;hydrolase activity;identical protein binding;non-membrane spanning protein tyrosine phosphatase activity;protein amino acid dephosphorylation;protein tyrosine phosphatase activity;soluble fraction	Phosphatase
993	CDC25A	cell division cycle 25 homolog A (S. pombe)	NM_201567, NM_001789	NP_963861.1, NP_001780.2	ENSG00000164045	chr3:48175438 - 48204441	cell cycle;cell division;cell proliferation;cellular_component;hydrolase activity;intracellular;mitosis;protein amino acid dephosphorylation;protein binding;protein tyrosine phosphatase activity;regulation of cyclin-dependent protein kinase activity	TGFBR,  Phosphatase,  Protein Kinase,  Stability,  Entrez Query:Oncogene
994	CDC25B	cell division cycle 25 homolog B (S. pombe)	NM_021873, NM_004358, NM_021872	NP_068659.1, NP_004349.1, NP_068658.1	ENSG00000101224	chr20:3725178 - 3733608	cell division;hydrolase activity;intracellular;M phase of mitotic cell cycle;mitosis;positive regulation of cell proliferation;protein amino acid dephosphorylation;protein binding;protein tyrosine phosphatase activity;regulation of progression through cell cycle	Phosphatase
995	CDC25C	cell division cycle 25 homolog C (S. pombe)	NM_001790, NM_022809	NP_001781.2, NP_073720.1	ENSG00000158402	chr5:137649279 - 137694768	cell cycle;cell division;cell proliferation;cellular_component;hydrolase activity;intracellular;M phase of mitotic cell cycle;nucleus;protein amino acid dephosphorylation;protein binding;protein tyrosine phosphatase activity;regulation of cyclin-dependent protein kinase activity;regulation of mitosis;traversing start control point of mitotic cell cycle	Wnt,  Phosphatase,  Protein Kinase
338599	DUPD1	dual specificity phosphatase and pro isomerase domain containing 1	NM_001003892	NP_001003892.1	ENSG00000188716	chr10:76467599 - 76488278	hydrolase activity;phosphoric monoester hydrolase activity;protein amino acid dephosphorylation;protein tyrosine/serine/threonine phosphatase activity	Phosphatase
1843	DUSP1	dual specificity phosphatase 1	NM_004417	NP_004408.1	ENSG00000120129	chr5:172128370 - 172130561	cell cycle;hydrolase activity;MAP kinase phosphatase activity;non-membrane spanning protein tyrosine phosphatase activity;protein amino acid dephosphorylation;protein binding;response to oxidative stress	EGFR1,  Phosphatase,  Stability
11221	DUSP10	dual specificity phosphatase 10	NM_007207, NM_144729	NP_009138.1, NP_653330.1	ENSG00000143507	chr1:219942376 - 219979709	cytoplasm;hydrolase activity;JNK cascade;MAP kinase phosphatase activity;nucleus;phosphoric monoester hydrolase activity;protein amino acid dephosphorylation;protein tyrosine phosphatase activity;response to stress	Phosphatase
11266	DUSP12	dual specificity phosphatase 12	NM_007240	NP_009171.1	ENSG00000081721	chr1:159986215 - 159993361	hydrolase activity;intracellular;metal ion binding;nucleic acid binding;nucleus;protein amino acid dephosphorylation;protein modification process;protein tyrosine phosphatase activity;protein tyrosine/serine/threonine phosphatase activity;zinc ion binding	Phosphatase
51207	DUSP13	dual specificity phosphatase 13	NM_001007271, NM_001007273	NP_001007272.1, NP_057448.3	ENSG00000079393	chr10:76524439 - 76533840	hydrolase activity;meiosis;phosphoric monoester hydrolase activity;protein amino acid dephosphorylation;protein tyrosine phosphatase activity;protein tyrosine/serine/threonine phosphatase activity;spermatogenesis	Phosphatase
11072	DUSP14	dual specificity phosphatase 14	NM_007026	NP_008957.1	ENSG00000161326	chr17:32946487 - 32947084	hydrolase activity;protein amino acid dephosphorylation;protein tyrosine phosphatase activity;protein tyrosine/serine/threonine phosphatase activity	Phosphatase
128853	DUSP15	dual specificity phosphatase 15	NM_177991	NP_817130.1	ENSG00000149599	chr20:29912866 - 29921801	hydrolase activity;membrane;protein amino acid dephosphorylation;protein tyrosine phosphatase activity;protein tyrosine/serine/threonine phosphatase activity	Phosphatase
80824	DUSP16	dual specificity phosphatase 16	NM_030640	NP_085143.1	ENSG00000111266	chr12:12521033 - 12565299	cytoplasm;hydrolase activity;inactivation of MAPK activity;MAP kinase phosphatase activity;MAPK export from nucleus;MAPK phosphatase export from nucleus, leptomycin B sensitive;nucleus;phosphoric monoester hydrolase activity;protein amino acid dephosphorylation;protein tyrosine phosphatase activity	Phosphatase
150290	DUSP18	dual specificity phosphatase 18	NM_152511	NP_689724.3	ENSG00000167065	chr22:29389423 - 29389990	hydrolase activity;nucleus;protein amino acid dephosphorylation;protein tyrosine phosphatase activity;protein tyrosine/serine/threonine phosphatase activity	Phosphatase
142679	DUSP19	dual specificity phosphatase 19	NM_080876	NP_543152.1	ENSG00000162999	chr2:183651906 - 183668631	hydrolase activity;protein amino acid dephosphorylation;protein tyrosine phosphatase activity;protein tyrosine/serine/threonine phosphatase activity	Phosphatase
1844	DUSP2	dual specificity phosphatase 2	NM_004418	NP_004409.1	ENSG00000158050	chr2:96173288 - 96174820	hydrolase activity;inactivation of MAPK activity;MAP kinase phosphatase activity;mitogen-activated protein kinase binding;nucleus;protein amino acid dephosphorylation;protein tyrosine phosphatase activity;protein tyrosine/threonine phosphatase activity	Phosphatase,  Protein Kinase
63904	DUSP21	dual specificity phosphatase 21	NM_022076	NP_071359.2	ENSG00000189037	chrX:44588322 - 44588895	cytoplasm;hydrolase activity;nucleus;protein amino acid dephosphorylation;protein kinase activity;protein tyrosine phosphatase activity;protein tyrosine/serine/threonine phosphatase activity;signal transduction	Phosphatase,  Protein Kinase
56940	DUSP22	dual specificity phosphatase 22	NM_020185	NP_064570.1	ENSG00000112679	chr6:237539 - 295868	apoptosis;hydrolase activity;inactivation of MAPK activity;multicellular organismal development;nucleus;positive regulation of JNK cascade;protein amino acid dephosphorylation;protein binding;protein tyrosine phosphatase activity;protein tyrosine/serine/threonine phosphatase activity;regulation of cell proliferation;transforming growth factor beta receptor signaling pathway	Phosphatase
78986	DUSP26	dual specificity phosphatase 26 (putative)	NM_024025	NP_076930.1	ENSG00000133878	chr8:33569072 - 33574575	hydrolase activity;kinase activity;phosphoric monoester hydrolase activity;protein amino acid dephosphorylation;protein tyrosine/serine/threonine phosphatase activity	Phosphatase
92235	DUSP27	dual specificity phosphatase 27 (putative)	NM_001080426	NP_001073895.1	ENSG00000198842	chr1:165330710 - 165364469	phosphoric monoester hydrolase activity;protein amino acid dephosphorylation;protein tyrosine/serine/threonine phosphatase activity	Phosphatase
285193	DUSP28	dual specificity phosphatase 28	NM_001033575	NP_001028747.1	ENSG00000188542	chr2:241148774 - 241149557	phosphoric monoester hydrolase activity;protein amino acid dephosphorylation;protein tyrosine/serine/threonine phosphatase activity	Phosphatase
1845	DUSP3	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)	NM_004090	NP_004081.1	ENSG00000108861	chr17:39202502 - 39211818	hydrolase activity;phosphoric monoester hydrolase activity;protein amino acid dephosphorylation;protein tyrosine phosphatase activity;protein tyrosine/serine/threonine phosphatase activity	Phosphatase
1846	DUSP4	dual specificity phosphatase 4	NM_001394, NM_057158	NP_001385.1, NP_476499.1	ENSG00000120875	chr8:29250461 - 29263714	hydrolase activity;MAP kinase phosphatase activity;MAPKKK cascade;nucleus;protein amino acid dephosphorylation;protein tyrosine phosphatase activity;protein tyrosine/threonine phosphatase activity;regulation of progression through cell cycle	Phosphatase
1847	DUSP5	dual specificity phosphatase 5	NM_004419	NP_004410.3	ENSG00000138166	chr10:112247869 - 112260174	hydrolase activity;MAP kinase phosphatase activity;nucleus;protein amino acid dephosphorylation;protein tyrosine phosphatase activity	Phosphatase
1848	DUSP6	dual specificity phosphatase 6	NM_022652, NM_001946	NP_073143.2, NP_001937.2	ENSG00000139318	chr12:88267161 - 88269947	cytoplasm;hydrolase activity;inactivation of MAPK activity;MAP kinase phosphatase activity;protein amino acid dephosphorylation;protein serine/threonine phosphatase activity;protein tyrosine phosphatase activity;regulation of progression through cell cycle;soluble fraction	Phosphatase,  Tumor Suppressor
1849	DUSP7	dual specificity phosphatase 7	NM_001947	NP_001938.1	ENSG00000164086	chr3:52059870 - 52065269	hydrolase activity;MAP kinase phosphatase activity;protein amino acid dephosphorylation;protein serine/threonine phosphatase activity;protein tyrosine phosphatase activity	Phosphatase
1850	DUSP8	dual specificity phosphatase 8	NM_004420	NP_004411.2	ENSG00000184545	chr11:1534323 - 1543632	cytoplasm;hydrolase activity;inactivation of MAPK activity;MAP kinase phosphatase activity;nucleus;protein amino acid dephosphorylation;protein tyrosine phosphatase activity	Phosphatase
1852	DUSP9	dual specificity phosphatase 9	NM_001395	NP_001386.1	ENSG00000130829	chrX:152566601 - 152568954	cytoplasm;hydrolase activity;inactivation of MAPK activity;JNK cascade;MAP kinase phosphatase activity;nucleus;phosphoric monoester hydrolase activity;protein amino acid dephosphorylation;protein tyrosine phosphatase activity	Phosphatase
5770	PTPN1	protein tyrosine phosphatase, non-receptor type 1	NM_002827	NP_002818.1	ENSG00000196396	chr20:48560471 - 48632659	cytoplasm;endoplasmic reticulum;hydrolase activity;insulin receptor signaling pathway;protein amino acid dephosphorylation;protein binding;protein tyrosine phosphatase activity;signal transduction;soluble fraction	Phosphatase,  Stability
5781	PTPN11	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	NM_002834	NP_002825.3	ENSG00000179295	chr12:111341298 - 111426951	hydrolase activity;intracellular signaling cascade;non-membrane spanning protein tyrosine phosphatase activity;protein amino acid dephosphorylation;protein binding;sensory perception of sound	EGFR1,  Kit Receptor,  TNF_alpha_NF_kB,  Futreal et al 2004,  Phosphatase,  Stability,  Entrez Query:Oncogene,  Missense mutation
5782	PTPN12	protein tyrosine phosphatase, non-receptor type 12	NM_002835	NP_002826.3	ENSG00000127947	chr7:77004799 - 77106533	cytoplasm;cytosol;hydrolase activity;non-membrane spanning protein tyrosine phosphatase activity;protein amino acid dephosphorylation;SH3 domain binding;soluble fraction	EGFR1,  Phosphatase,  Entrez Query:Oncogene
5783	PTPN13	protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)	NM_006264, NM_080684, NM_080683, NM_080685	NP_006255.1, NP_542415.1, NP_542414.1, NP_542416.1	ENSG00000163629	chr4:87775433 - 87954728	cytoplasm;cytoskeleton;hydrolase activity;non-membrane spanning protein tyrosine phosphatase activity;protein amino acid dephosphorylation;protein binding;structural molecule activity	Phosphatase
5784	PTPN14	protein tyrosine phosphatase, non-receptor type 14	NM_005401	NP_005392.2	ENSG00000152104	chr1:212597887 - 212704769	binding;cytoskeleton;hydrolase activity;protein amino acid dephosphorylation;protein tyrosine phosphatase activity;structural molecule activity	Phosphatase
26469	PTPN18	protein tyrosine phosphatase, non-receptor type 18 (brain-derived)	NM_014369	NP_055184.2	ENSG00000072135	chr2:130830150 - 130847267	hydrolase activity;non-membrane spanning protein tyrosine phosphatase activity;nucleus;phosphoric monoester hydrolase activity;protein amino acid dephosphorylation;protein tyrosine phosphatase activity	Phosphatase
5771	PTPN2	protein tyrosine phosphatase, non-receptor type 2	NM_080422, NM_002828, NM_080423	NP_536347.1, NP_002819.1, NP_536348.1	ENSG00000175354	chr18:12784276 - 12874140	hydrolase activity;insulin receptor signaling pathway;phosphoric monoester hydrolase activity;protein amino acid dephosphorylation;protein binding;protein tyrosine phosphatase activity;receptor activity	Phosphatase
653129	PTPN20A	protein tyrosine phosphatase, non-receptor type 20A			null	chr10:null	hydrolase activity;phosphoric monoester hydrolase activity;protein amino acid dephosphorylation;protein tyrosine phosphatase activity;receptor activity	Phosphatase
26095	PTPN20B	protein tyrosine phosphatase, non-receptor type 20B	NM_001042392, NM_001042391, NM_001042394, NM_001042397, NM_001042395, NM_001042390, NM_001042396, NM_001042393	NP_001035851.1, NP_001035850.1, NP_001035853.1, NP_001035856.1, NP_001035854.1, NP_001035849.1, NP_001035855.1, NP_001035852.1	ENSG00000183675	chr10:48358626 - 48426868	hydrolase activity;phosphoric monoester hydrolase activity;protein amino acid dephosphorylation;protein tyrosine phosphatase activity;receptor activity	Phosphatase
11099	PTPN21	protein tyrosine phosphatase, non-receptor type 21	NM_007039	NP_008970.2	ENSG00000070778	chr14:88004233 - 88086514	binding;cytoskeleton;hydrolase activity;protein amino acid dephosphorylation;protein tyrosine phosphatase activity;structural molecule activity	Phosphatase
26191	PTPN22	protein tyrosine phosphatase, non-receptor type 22 (lymphoid)	NM_015967, NM_012411	NP_057051.3, NP_036543.3	ENSG00000134242	chr1:114159049 - 114215768	hydrolase activity;multicellular organismal development;phosphoric monoester hydrolase activity;protein amino acid dephosphorylation;protein binding;protein tyrosine phosphatase activity;signal transduction	Phosphatase
25930	PTPN23	protein tyrosine phosphatase, non-receptor type 23	NM_015466	NP_056281.1	ENSG00000076201	chr3:47397590 - 47429679	hydrolase activity;protein amino acid dephosphorylation;protein tyrosine phosphatase activity	Phosphatase
5774	PTPN3	protein tyrosine phosphatase, non-receptor type 3	NM_002829	NP_002820.3	ENSG00000070159	chr9:111181656 - 111265535	cytoplasm;cytoskeletal protein binding;cytoskeleton;hydrolase activity;membrane;phosphoric monoester hydrolase activity;protein amino acid dephosphorylation;protein binding;protein tyrosine phosphatase activity;structural molecule activity	Phosphatase
