Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources
324	APC	adenomatosis polyposis coli	NM_001127511, NM_001127510	NP_001120983.1, NP_001120982.1	ENSG00000134982	chr5:112118486 - 112207722	anterior/posterior pattern formation;axis specification;beta-catenin binding;beta-catenin destruction complex;cell adhesion;cell cycle;cell cycle arrest;centrosome;cytoplasm;dorsal/ventral pattern formation;kinetochore;lateral plasma membrane;microtubule binding;negative regulation of cell proliferation;negative regulation of cyclin-dependent protein kinase activity;negative regulation of microtubule depolymerization;nucleus;protein complex assembly;protein kinase binding;protein kinase CK2 regulator activi	Futreal et al 2004,  Hahn and Weinberg 2002,  Vogelstein and Kinzler 2004,  Protein Kinase,  Stability,  Tumor Suppressor,  Frameshift mutation,  Large deletion,  Missense mutation,  Nonsense mutation,  Splicing mutation
472	ATM	ataxia telangiectasia mutated (includes complementation groups A, C and D)	NM_138292, NM_000051	NP_612149.1, NP_000042.3	ENSG00000149311	chr11:107603561 - 107741445	1-phosphatidylinositol-3-kinase activity;cell cycle;DNA binding;DNA repair;meiotic recombination;mitotic spindle checkpoint;negative regulation of progression through cell cycle;nucleus;protein N-terminus binding;protein serine/threonine kinase activity;response to ionizing radiation;signal transduction;transferase activity	Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Protein Kinase,  Stability,  Tumor Suppressor,  Frameshift mutation,  Large deletion,  Missense mutation,  Nonsense mutation,  Splicing mutation
604	BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)	NM_001706	NP_001697.2	ENSG00000113916	chr3:188922939 - 188934175	actin cytoskeleton organization and biogenesis;B cell differentiation;cell morphogenesis;chromatin binding;DNA binding;erythrocyte development;germinal center formation;intracellular;metal ion binding;negative regulation of B cell apoptosis;negative regulation of cell differentiation;negative regulation of cell growth;negative regulation of cell proliferation;negative regulation of cell-matrix adhesion;negative regulation of isotype switching to IgE isotypes;negative regulation of mast cell cytokine product	Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Entrez Query:Oncogene,  Missense mutation,  Translocation
641	BLM	Bloom syndrome	NM_000057	NP_000048.1	ENSG00000197299	chr15:89091626 - 89159513	ATP binding;ATP-dependent DNA helicase activity;DNA binding;DNA recombination;DNA repair;DNA replication;hydrolase activity;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;intracellular;nucleotide binding;nucleus;protein binding;regulation of binding;replication fork	Futreal et al 2004,  Vogelstein and Kinzler 2004,  Protein Kinase,  Stability,  Tumor Suppressor,  Frameshift mutation,  Missense mutation,  Nonsense mutation
657	BMPR1A	bone morphogenetic protein receptor, type IA	NM_004329	NP_004320.2	ENSG00000107779	chr10:88625755 - 88673456	anterior/posterior pattern formation;ATP binding;cartilage development;cell differentiation;dorsal/ventral axis specification;ectoderm development;heart development;hindlimb morphogenesis;integral to membrane;lung development;magnesium ion binding;manganese ion binding;membrane;mesendoderm development;Mullerian duct regression;nucleotide binding;positive regulation of epithelial cell proliferation;protein amino acid phosphorylation;receptor activity;SMAD binding;transferase activity;transforming growth fact	Futreal et al 2004,  Vogelstein and Kinzler 2004,  Tumor Suppressor,  Frameshift mutation,  Missense mutation,  Nonsense mutation
673	BRAF	v-raf murine sarcoma viral oncogene homolog B1	NM_004333	NP_004324.2	ENSG00000157764	chr7:140080865 - 140270972	anti-apoptosis;ATP binding;cytoplasm;diacylglycerol binding;intracellular signaling cascade;metal ion binding;nucleotide binding;organ morphogenesis;plasma membrane;protein amino acid phosphorylation;protein binding;protein serine/threonine kinase activity;receptor signaling protein activity;transferase activity;zinc ion binding	Futreal et al 2004,  Hahn and Weinberg 2002,  Vogelstein and Kinzler 2004,  Stability,  Tyrosine Kinase,  Entrez Query:Oncogene,  Missense mutation
672	BRCA1	breast cancer 1, early onset	NM_007298, NM_007300, NM_007303, NM_007299, NM_007294, NM_007302, NM_007304, NM_007305	NP_009229.1, NP_009231.1, NP_009234.1, NP_009230.1, NP_009227.1, NP_009228.1, NP_009235.2, NP_009236.1	ENSG00000012048	chr17:38451220 - 38529639	androgen receptor binding;androgen receptor signaling pathway;BRCA1-BARD1 complex;cell cycle;cell cycle checkpoint;cellular_component;chromosome segregation;DNA binding;DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator;DNA damage response, signal transduction resulting in induction of apoptosis;DNA repair;enzyme binding;fatty acid biosynthetic process;gamma-tubulin ring complex;intracellular;metal ion binding;molecular_function;negative regulatio	Futreal et al 2004,  Hahn and Weinberg 2002,  Vogelstein and Kinzler 2004,  Stability,  Tumor Suppressor,  Entrez Query:Oncogene,  Frameshift mutation,  Large deletion,  Missense mutation,  Nonsense mutation,  Splicing mutation
675	BRCA2	breast cancer 2, early onset	NM_000059	NP_000050.2	ENSG00000139618	chr13:31788597 - 31870907	chromatin remodeling;cytoplasm;DNA repair;double-strand break repair via homologous recombination;establishment and/or maintenance of chromatin architecture;extracellular space;histone acetyltransferase activity;mitotic checkpoint;nucleus;protein binding;regulation of progression through cell cycle;regulation of S phase of mitotic cell cycle;regulation of transcription;secretory granule;single-stranded DNA binding;transcriptional activator activity	Futreal et al 2004,  Hahn and Weinberg 2002,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Stability,  Tumor Suppressor,  Frameshift mutation,  Large deletion,  Missense mutation,  Nonsense mutation,  Splicing mutation
701	BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	NM_001211	NP_001202.4	ENSG00000156970	chr15:38240713 - 38300252	anaphase-promoting complex;apoptosis;ATP binding;cell cycle;cell division;cell proliferation;cytoplasm;kinetochore;mitosis;mitotic checkpoint;negative regulation of progression through cell cycle;nucleotide binding;nucleus;outer kinetochore of condensed chromosome;phosphoinositide-mediated signaling;protein amino acid phosphorylation;protein binding;protein serine/threonine kinase activity;spindle midzone;spindle organization and biogenesis;transferase activity	Futreal et al 2004,  Protein Kinase,  Stability,  Frameshift mutation,  Missense mutation,  Nonsense mutation,  Splicing mutation
999	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	NM_004360	NP_004351.1	ENSG00000039068	chr16:67328819 - 67424903	calcium ion binding;cell adhesion;homophilic cell adhesion;integral to membrane;membrane;molecular_function;protein binding	Wnt,  Futreal et al 2004,  Vogelstein and Kinzler 2004,  Stability,  Tumor Suppressor,  Frameshift mutation,  Missense mutation,  Nonsense mutation,  Splicing mutation
