UniProtKB	Q14728	MFSD10		GO:0015904	PMID:8353488	TAS		P	Major facilitator superfamily domain-containing protein 10	MFS10_HUMAN|MFSD10|TETRAN	protein	taxon:9606	20120317	GOC
UniProtKB	A6NE42	TGIF1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000021534	IEA	Ensembl:ENSRNOP00000021534	P	TGFB-induced factor (TALE family homeobox), isoform CRA_c	A6NE42_HUMAN|hCG_1994498|TGIF|TGIF1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	A6NL99	AQP7P3		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000012974	IEA	Ensembl:ENSRNOP00000012974	P	Putative aquaporin-7-like protein 3	AQP73_HUMAN|AQP7P3	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	A8K4E2	FOS		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000021674	IEA	Ensembl:ENSMUSP00000021674	P	FBJ murine osteosarcoma viral oncogene homolog	A8K4E2_HUMAN|FOS|hCG_22355	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	A8MYL5	ACACA		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000050703	IEA	Ensembl:ENSRNOP00000050703	P	Acetyl-CoA carboxylase alpha	A8MYL5_HUMAN|ACACA	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	A9UJN9	PDGFB		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000023196	IEA	Ensembl:ENSRNOP00000023196	P	Platelet-derived growth factor beta polypeptide	A9UJN9_HUMAN|LL22NC03-10C3.2-004|PDGFB	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	A9UJP0	PDGFB		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000023196	IEA	Ensembl:ENSRNOP00000023196	P	Platelet-derived growth factor beta polypeptide (Simian sarcoma viral (V-sis) oncogene homolog)	A9UJP0_HUMAN|LL22NC03-10C3.2-003|PDGFB	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	B0AZS6	YWHAZ		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000030885	IEA	Ensembl:ENSRNOP00000030885	P	cDNA, FLJ79516, highly similar to 14-3-3 protein zeta/delta	B0AZS6_HUMAN|YWHAZ	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	B0V0H5	TNF		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000001110	IEA	Ensembl:ENSRNOP00000001110	P	Tumor necrosis factor	B0V0H5_HUMAN|DAAP-90L16.1-001|TNF	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	B1AH87	TSPO		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014089	IEA	Ensembl:ENSRNOP00000014089	P	Translocator protein (18kDa)	B1AH87_HUMAN|RP3-526I14.4-005|TSPO	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	B1ALB6	NCF2		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000060733	IEA	Ensembl:ENSRNOP00000060733	P	Neutrophil cytosolic factor 2	B1ALB6_HUMAN|NCF2|RP1-127C7.5-005	protein	taxon:9606	20120317	ENSEMBL
