Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources
25	ABL1	v-abl Abelson murine leukemia viral oncogene homolog 1	NM_007313, NM_005157	NP_009297.2, NP_005148.2	ENSG00000097007	chr9:132579527 - 132750891	actin cytoskeleton organization and biogenesis;ATP binding;biological_process;cell adhesion;cellular_component;cytoplasm;cytoskeleton;DNA binding;DNA damage response, signal transduction resulting in induction of apoptosis;intracellular signaling cascade;magnesium ion binding;manganese ion binding;mismatch repair;molecular_function;nucleotide binding;nucleus;peptidyl-tyrosine phosphorylation;protein C-terminus binding;protein modification process;protein-tyrosine kinase activity;regulation of progression th	Alpha6Beta4 Integrin,  Kit Receptor,  Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Protein Kinase,  Stability,  Tumor Suppressor,  Tyrosine Kinase,  Entrez Query:Oncogene,  Translocation
208	AKT2	v-akt murine thymoma viral oncogene homolog 2	NM_001626	NP_001617.1	ENSG00000105221	chr19:45431618 - 45463014	ATP binding;lamellipodium;nucleotide binding;protein amino acid phosphorylation;protein binding;protein modification process;protein serine/threonine kinase activity;regulation of JNK cascade;transferase activity	TNF_alpha_NF_kB,  Futreal et al 2004,  Vogelstein and Kinzler 2004,  Protein Kinase,  Entrez Query:Oncogene,  Amplification
238	ALK	anaplastic lymphoma kinase (Ki-1)	NM_004304	NP_004295.2	ENSG00000171094	chr2:29269593 - 29997029	ATP binding;brain development;integral to plasma membrane;membrane;nervous system development;nucleotide binding;protein amino acid N-linked glycosylation;protein amino acid phosphorylation;receptor activity;receptor signaling protein tyrosine kinase activity;transferase activity;transmembrane receptor protein tyrosine kinase activity;transmembrane receptor protein tyrosine kinase signaling pathway	Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Protein Kinase,  Tyrosine Kinase,  Translocation
324	APC	adenomatosis polyposis coli	NM_001127511, NM_001127510	NP_001120983.1, NP_001120982.1	ENSG00000134982	chr5:112118486 - 112207722	anterior/posterior pattern formation;axis specification;beta-catenin binding;beta-catenin destruction complex;cell adhesion;cell cycle;cell cycle arrest;centrosome;cytoplasm;dorsal/ventral pattern formation;kinetochore;lateral plasma membrane;microtubule binding;negative regulation of cell proliferation;negative regulation of cyclin-dependent protein kinase activity;negative regulation of microtubule depolymerization;nucleus;protein complex assembly;protein kinase binding;protein kinase CK2 regulator activi	Futreal et al 2004,  Hahn and Weinberg 2002,  Vogelstein and Kinzler 2004,  Protein Kinase,  Stability,  Tumor Suppressor,  Frameshift mutation,  Large deletion,  Missense mutation,  Nonsense mutation,  Splicing mutation
472	ATM	ataxia telangiectasia mutated (includes complementation groups A, C and D)	NM_138292, NM_000051	NP_612149.1, NP_000042.3	ENSG00000149311	chr11:107603561 - 107741445	1-phosphatidylinositol-3-kinase activity;cell cycle;DNA binding;DNA repair;meiotic recombination;mitotic spindle checkpoint;negative regulation of progression through cell cycle;nucleus;protein N-terminus binding;protein serine/threonine kinase activity;response to ionizing radiation;signal transduction;transferase activity	Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Protein Kinase,  Stability,  Tumor Suppressor,  Frameshift mutation,  Large deletion,  Missense mutation,  Nonsense mutation,  Splicing mutation
8313	AXIN2	axin 2 (conductin, axil)	NM_004655	NP_004646.3	ENSG00000168646	chr17:60956555 - 60985200	intracellular;multicellular organismal development;nucleus;signal transducer activity;signal transduction;Wnt receptor signaling pathway	TGFBR,  Wnt,  Vogelstein and Kinzler 2004,  Protein Kinase,  Stability
581	BAX	BCL2-associated X protein	NM_138763, NM_004324, NM_138764, NM_138761, NM_138765	NP_620118.1, NP_004315.1, NP_620119.1, NP_620116.1, NP_620120.1	ENSG00000087088	chr19:54149997 - 54156166	apoptosis;apoptotic mitochondrial changes;B cell apoptosis;B cell homeostatic proliferation;BH3 domain binding;caspase activation;caspase activation via cytochrome c;cell cycle;cellular_component;cleavage of lamin;cytoplasm;cytosol;cytosolic part;DNA fragmentation during apoptosis;endoplasmic reticulum;endoplasmic reticulum membrane;establishment and/or maintenance of transmembrane electrochemical gradient;germ cell development;induction of apoptosis;induction of apoptosis by extracellular signals;induction	Hahn and Weinberg 2002,  Vogelstein and Kinzler 2004,  Tumor Suppressor,  Entrez Query:Oncogene
596	BCL2	B-cell CLL/lymphoma 2	NM_000633, NM_000657	NP_000624.2, NP_000648.2	ENSG00000171791	chr18:58946837 - 59136879	anti-apoptosis;BH3 domain binding;cytoplasm;cytosol;defense response to virus;endoplasmic reticulum;humoral immune response;integral to membrane;membrane;mitochondrial outer membrane;mitochondrion;negative regulation of cellular pH reduction;negative regulation of mitochondrial depolarization;negative regulation of neuron apoptosis;neuron apoptosis;nuclear membrane;nucleus;pregnancy;protease binding;protein heterodimerization activity;protein homodimerization activity;regulation of mitochondrial membrane pe	Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Stability,  Tumor Suppressor,  Entrez Query:Oncogene,  Translocation
604	BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)	NM_001706	NP_001697.2	ENSG00000113916	chr3:188922939 - 188934175	actin cytoskeleton organization and biogenesis;B cell differentiation;cell morphogenesis;chromatin binding;DNA binding;erythrocyte development;germinal center formation;intracellular;metal ion binding;negative regulation of B cell apoptosis;negative regulation of cell differentiation;negative regulation of cell growth;negative regulation of cell proliferation;negative regulation of cell-matrix adhesion;negative regulation of isotype switching to IgE isotypes;negative regulation of mast cell cytokine product	Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Entrez Query:Oncogene,  Missense mutation,  Translocation
641	BLM	Bloom syndrome	NM_000057	NP_000048.1	ENSG00000197299	chr15:89091626 - 89159513	ATP binding;ATP-dependent DNA helicase activity;DNA binding;DNA recombination;DNA repair;DNA replication;hydrolase activity;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;intracellular;nucleotide binding;nucleus;protein binding;regulation of binding;replication fork	Futreal et al 2004,  Vogelstein and Kinzler 2004,  Protein Kinase,  Stability,  Tumor Suppressor,  Frameshift mutation,  Missense mutation,  Nonsense mutation
657	BMPR1A	bone morphogenetic protein receptor, type IA	NM_004329	NP_004320.2	ENSG00000107779	chr10:88625755 - 88673456	anterior/posterior pattern formation;ATP binding;cartilage development;cell differentiation;dorsal/ventral axis specification;ectoderm development;heart development;hindlimb morphogenesis;integral to membrane;lung development;magnesium ion binding;manganese ion binding;membrane;mesendoderm development;Mullerian duct regression;nucleotide binding;positive regulation of epithelial cell proliferation;protein amino acid phosphorylation;receptor activity;SMAD binding;transferase activity;transforming growth fact	Futreal et al 2004,  Vogelstein and Kinzler 2004,  Tumor Suppressor,  Frameshift mutation,  Missense mutation,  Nonsense mutation
673	BRAF	v-raf murine sarcoma viral oncogene homolog B1	NM_004333	NP_004324.2	ENSG00000157764	chr7:140080865 - 140270972	anti-apoptosis;ATP binding;cytoplasm;diacylglycerol binding;intracellular signaling cascade;metal ion binding;nucleotide binding;organ morphogenesis;plasma membrane;protein amino acid phosphorylation;protein binding;protein serine/threonine kinase activity;receptor signaling protein activity;transferase activity;zinc ion binding	Futreal et al 2004,  Hahn and Weinberg 2002,  Vogelstein and Kinzler 2004,  Stability,  Tyrosine Kinase,  Entrez Query:Oncogene,  Missense mutation
