Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources
102	ADAM10	ADAM metallopeptidase domain 10	NM_001110	NP_001101.1	ENSG00000137845	chr15:56677037 - 56829025	cell surface;cell-cell signaling;constitutive protein ectodomain proteolysis;cytoplasm;Golgi apparatus;Golgi-associated vesicle;in utero embryonic development;integral to membrane;integrin binding;integrin-mediated signaling pathway;metal ion binding;metalloendopeptidase activity;negative regulation of cell adhesion;Notch receptor processing;nucleocytoplasmic transport;nucleus;plasma membrane;protein amino acid phosphorylation;protein homodimerization activity;protein kinase binding;SH2 domain binding;zinc 	NOTCH,  Protein Kinase
6868	ADAM17	ADAM metallopeptidase domain 17 (tumor necrosis factor, alpha, converting enzyme)	NM_003183	NP_003174.3	ENSG00000151694	chr2:9547756 - 9613185	cell-cell signaling;cytoplasm;integral to plasma membrane;membrane;metal ion binding;metalloendopeptidase activity;Notch signaling pathway;protein binding;proteolysis;zinc ion binding	NOTCH,  Protein Kinase
51107	APH1A	anterior pharynx defective 1 homolog A (C. elegans)	NM_016022, NM_001077628	NP_057106.2, NP_001071096.1	ENSG00000117362	chr1:148505153 - 148507834	amyloid precursor protein catabolic process;endoplasmic reticulum;Golgi apparatus;integral to plasma membrane;membrane;membrane protein ectodomain proteolysis;membrane protein intracellular domain proteolysis;Notch receptor processing;positive regulation of enzyme activity;protein binding;protein processing	NOTCH,  Stability
83464	APH1B	anterior pharynx defective 1 homolog B (C. elegans)	NM_031301	NP_112591.2	ENSG00000138613	chr15:61356875 - 61385033	integral to membrane;membrane;Notch signaling pathway;peptidase activity;positive regulation of enzyme activity;protein binding;protein processing;transport vesicle	NOTCH,  Stability
351	APP	amyloid beta (A4) precursor protein (peptidase nexin-II, Alzheimer disease)	NM_000484, NM_201414, NM_201413	NP_000475.1, NP_958817.1, NP_958816.1	ENSG00000142192	chr21:26175851 - 26464809	apoptosis;binding;cell adhesion;cell surface;coated pit;copper ion binding;copper ion homeostasis;endocytosis;extracellular region;heparin binding;identical protein binding;integral to membrane;integral to plasma membrane;iron ion binding;membrane;metal ion binding;neuromuscular process;Notch signaling pathway;serine-type endopeptidase inhibitor activity;zinc ion binding	NOTCH,  Stability,  Tumor Suppressor
429	ASCL1	achaete-scute complex homolog 1 (Drosophila)	NM_004316	NP_004307.2	ENSG00000139352	chr12:101876152 - 101876863	glial cell differentiation;nervous system development;neuroblast fate determination;neuroblast proliferation (sensu Vertebrata);neuron fate commitment;neuron migration;Notch signaling pathway;nucleus;pattern specification process;protein binding;regulation of transcription from RNA polymerase II promoter;transcription factor activity	NOTCH
9541	CIR	-	NM_004882	NP_004873.3	ENSG00000138433	chr2:174921470 - 174968596	histone deacetylase complex;mRNA processing;negative regulation of transcription, DNA-dependent;nucleus;protein binding;RNA splicing;transcription;transcription corepressor activity;transcription factor activity	NOTCH
1272	CNTN1	contactin 1	NM_175038, NM_001843	NP_778203.1, NP_001834.2	ENSG00000018236	chr12:39588501 - 39750104	cell adhesion;GPI anchor binding;membrane;membrane fraction;Notch signaling pathway;protein binding	NOTCH
8454	CUL1	cullin 1	NM_003592	NP_003583.2	ENSG00000055130	chr7:148058147 - 148128607	cell cycle;cell cycle arrest;G1/S transition of mitotic cell cycle;induction of apoptosis by intracellular signals;negative regulation of cell proliferation;protein binding;ubiquitin cycle	NOTCH,  TGFBR,  TNF_alpha_NF_kB,  Wnt,  Tumor Suppressor
28514	DLL1	delta-like 1 (Drosophila)	NM_005618	NP_005609.3	ENSG00000198719	chr6:170433886 - 170441152	auditory receptor cell fate commitment;calcium ion binding;cell communication;cell differentiation;cell fate determination;compartment specification;cytoplasmic vesicle;determination of left/right symmetry;extracellular region;hemopoiesis;in utero embryonic development;inner ear morphogenesis;integral to plasma membrane;multicellular organismal development;negative regulation of auditory receptor cell differentiation;negative regulation of cell differentiation;nervous system development;Notch binding;Notch 	NOTCH
54567	DLL4	delta-like 4 (Drosophila)	NM_019074	NP_061947.1	ENSG00000128917	chr15:39009158 - 39017524	angiogenesis;calcium ion binding;cell differentiation;circulation;integral to membrane;membrane;multicellular organismal development;Notch binding;Notch signaling pathway;protein binding;signal transduction	NOTCH
1840	DTX1	deltex homolog 1 (Drosophila)	NM_004416	NP_004407.2	ENSG00000135144	chr12:111980380 - 112019127	cytoplasm;glial cell differentiation;metal ion binding;negative regulation of neuron differentiation;Notch binding;protein binding;regulation of Notch signaling pathway;transcription coactivator activity;transcription from RNA polymerase II promoter;transcription regulator activity;zinc ion binding	NOTCH
2033	EP300	E1A binding protein p300	NM_001429	NP_001420.2	ENSG00000100393	chr22:39818954 - 39904906	acetyltransferase activity;apoptosis;cell cycle;heart development;histone acetylation;histone acetyltransferase activity;histone acetyltransferase complex;homeostatic process;lung development;metal ion binding;N-terminal peptidyl-lysine acetylation;nervous system development;nucleus;organ morphogenesis;positive regulation of transcription factor activity;positive regulation of transcription, DNA-dependent;protein C-terminus binding;response to hypoxia;signal transduction;somitogenesis;striated muscle develo	Androgen Receptor,  Kit Receptor,  NOTCH,  TGFBR,  Wnt,  Futreal et al 2004,  Mitelman 2000,  Translocation
55294	FBXW7	F-box and WD repeat domain containing 7	NM_001013415, NM_033632, NM_018315	NP_001013433.1, NP_361014.1, NP_060785.2	ENSG00000109670	chr4:153463482 - 153552405	nucleus;protein binding;protein ubiquitination	NOTCH,  Futreal et al 2004,  Vogelstein and Kinzler 2004,  Tumor Suppressor,  Missense mutation,  Nonsense mutation
2273	FHL1	four and a half LIM domains 1	NM_001449	NP_001440.2	ENSG00000022267	chrX:135116257 - 135119850	cell differentiation;cell growth;cellular_component;metal ion binding;molecular_function;multicellular organismal development;muscle development;nucleus;organ morphogenesis;zinc ion binding	NOTCH
