Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources
22848	AAK1	AP2 associated kinase 1	NM_014911	NP_055726.3	ENSG00000115977	chr2:69556504 - 69723676	ATP binding;nucleotide binding;protein amino acid phosphorylation;protein serine/threonine kinase activity;transferase activity	Protein Kinase
9625	AATK	apoptosis-associated tyrosine kinase	NM_001080395	NP_001073864.2	null	chr17:76706796 - 76754387	ATP binding;integral to membrane;membrane;nucleotide binding;protein amino acid phosphorylation;protein serine/threonine kinase activity;protein-tyrosine kinase activity;transferase activity	Protein Kinase
25	ABL1	v-abl Abelson murine leukemia viral oncogene homolog 1	NM_007313, NM_005157	NP_009297.2, NP_005148.2	ENSG00000097007	chr9:132579527 - 132750891	actin cytoskeleton organization and biogenesis;ATP binding;biological_process;cell adhesion;cellular_component;cytoplasm;cytoskeleton;DNA binding;DNA damage response, signal transduction resulting in induction of apoptosis;intracellular signaling cascade;magnesium ion binding;manganese ion binding;mismatch repair;molecular_function;nucleotide binding;nucleus;peptidyl-tyrosine phosphorylation;protein C-terminus binding;protein modification process;protein-tyrosine kinase activity;regulation of progression th	Alpha6Beta4 Integrin,  Kit Receptor,  Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Protein Kinase,  Stability,  Tumor Suppressor,  Tyrosine Kinase,  Entrez Query:Oncogene,  Translocation
27	ABL2	v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)	NM_005158, NM_001100108, NM_007314	NP_005149.3, NP_001093578.1, NP_009298.1	null	chr1:177343475 - 177378802	ATP binding;cell adhesion;cytoplasm;cytoskeleton;intracellular signaling cascade;magnesium ion binding;manganese ion binding;nucleotide binding;peptidyl-tyrosine phosphorylation;phosphoinositide 3-kinase complex;phosphoinositide 3-kinase regulator activity;protein binding;protein modification process;protein-tyrosine kinase activity;transferase activity	Futreal et al 2004,  Mitelman 2000,  Protein Kinase,  Tyrosine Kinase,  Entrez Query:Oncogene,  Translocation
91	ACVR1B	activin A receptor, type IB	NM_004302, NM_020328, NM_020327	NP_004293.1, NP_064733.2, NP_064732.2	ENSG00000135503	chr12:50631794 - 50674161	activin binding;activin receptor activity, type I;ATP binding;cell surface;embryonic development;G1/S transition of mitotic cell cycle;growth factor binding;hair follicle development;in utero embryonic development;induction of apoptosis;integral to plasma membrane;magnesium ion binding;manganese ion binding;membrane;negative regulation of cell growth;nucleotide binding;positive regulation of activin receptor signaling pathway;positive regulation of erythrocyte differentiation;protein amino acid phosphorylat	Protein Kinase
130399	ACVR1C	activin A receptor, type IC	NM_001111032, NM_001111033, NM_001111031	NP_001104502.1, NP_001104503.1, NP_001104501.1	ENSG00000123612	chr2:158098675 - 158193402	activin receptor activity, type I;activin receptor complex;ATP binding;cell differentiation;integral to membrane;magnesium ion binding;manganese ion binding;membrane;nucleotide binding;protein amino acid phosphorylation;protein serine/threonine kinase activity;receptor activity;regulation of apoptosis;transferase activity;transforming growth factor beta receptor activity	Protein Kinase
92	ACVR2A	activin A receptor, type IIA	NM_001616	NP_001607.1	ENSG00000121989	chr2:148319191 - 148401313	activin receptor activity;anterior/posterior pattern formation;ATP binding;cytoplasm;determination of left/right symmetry;embryonic skeletal development;gastrulation (sensu Vertebrata);growth factor binding;inhibin beta-A binding;integral to plasma membrane;magnesium ion binding;manganese ion binding;membrane;mesoderm development;nucleotide binding;penile erection;positive regulation of activin receptor signaling pathway;positive regulation of erythrocyte differentiation;protein amino acid phosphorylation;p	Protein Kinase
93	ACVR2B	activin A receptor, type IIB	NM_001106	NP_001097.2	ENSG00000114739	chr3:38470817 - 38499827	activin receptor activity, type II;anterior/posterior pattern formation;ATP binding;cell surface;cytoplasm;growth factor binding;integral to plasma membrane;magnesium ion binding;manganese ion binding;membrane;nucleotide binding;positive regulation of activin receptor signaling pathway;protein amino acid phosphorylation;protein kinase activity;receptor activity;receptor signaling protein serine/threonine kinase activity;regulation of transcription;signal transduction;transferase activity;transforming growth	Protein Kinase
94	ACVRL1	activin A receptor type II-like 1	NM_001077401	NP_001070869.1	ENSG00000139567	chr12:50592525 - 50600944	activin binding;activin receptor activity, type I;angiogenesis;ATP binding;blood pressure regulation;cell surface;integral to plasma membrane;magnesium ion binding;manganese ion binding;membrane;negative regulation of cell adhesion;negative regulation of cell migration;negative regulation of cell proliferation;negative regulation of focal adhesion formation;nucleotide binding;positive regulation of transcription;protein amino acid phosphorylation;receptor activity;signal transduction;SMAD binding;transferas	Protein Kinase
102	ADAM10	ADAM metallopeptidase domain 10	NM_001110	NP_001101.1	ENSG00000137845	chr15:56677037 - 56829025	cell surface;cell-cell signaling;constitutive protein ectodomain proteolysis;cytoplasm;Golgi apparatus;Golgi-associated vesicle;in utero embryonic development;integral to membrane;integrin binding;integrin-mediated signaling pathway;metal ion binding;metalloendopeptidase activity;negative regulation of cell adhesion;Notch receptor processing;nucleocytoplasmic transport;nucleus;plasma membrane;protein amino acid phosphorylation;protein homodimerization activity;protein kinase binding;SH2 domain binding;zinc 	NOTCH,  Protein Kinase
6868	ADAM17	ADAM metallopeptidase domain 17 (tumor necrosis factor, alpha, converting enzyme)	NM_003183	NP_003174.3	ENSG00000151694	chr2:9547756 - 9613185	cell-cell signaling;cytoplasm;integral to plasma membrane;membrane;metal ion binding;metalloendopeptidase activity;Notch signaling pathway;protein binding;proteolysis;zinc ion binding	NOTCH,  Protein Kinase
8754	ADAM9	ADAM metallopeptidase domain 9 (meltrin gamma)	NM_003816, NM_001005845	NP_003807.1, NP_001005845.1	ENSG00000168615	chr8:38973739 - 39080376	cytoplasm;integral to plasma membrane;integrin binding;metal ion binding;metalloendopeptidase activity;plasma membrane;protein binding;protein kinase binding;protein kinase cascade;proteolysis;SH3 domain binding;zinc ion binding	Protein Kinase
57143	ADCK1	aarF domain containing kinase 1	NM_020421	NP_065154.2	ENSG00000063761	chr14:77355074 - 77469487	ATP binding;nucleotide binding;protein amino acid phosphorylation;protein kinase activity;transferase activity	Protein Kinase
90956	ADCK2	aarF domain containing kinase 2	NM_052853	NP_443085.2	ENSG00000133597	chr7:140019599 - 140041072	ATP binding;integral to membrane;kinase activity;membrane;nucleotide binding;transferase activity	Protein Kinase
79934	ADCK4	aarF domain containing kinase 4	NM_024876	NP_079152.3	ENSG00000123815	chr19:45889779 - 45912377	integral to membrane;kinase activity;membrane;transferase activity	Protein Kinase
203054	ADCK5	aarF domain containing kinase 5	NM_174922	NP_777582.3	ENSG00000173137	chr8:145568592 - 145589097	integral to membrane;kinase activity;membrane;transferase activity	Protein Kinase
107	ADCY1	adenylate cyclase 1 (brain)	NM_021116	NP_066939.1	ENSG00000164742	chr7:45580667 - 45720119	calcium- and calmodulin-responsive adenylate cyclase activity;calmodulin binding;cAMP biosynthetic process;integral to membrane;intracellular signaling cascade;magnesium ion binding;membrane	Protein Kinase
108	ADCY2	adenylate cyclase 2 (brain)	NM_020546	NP_065433.2	ENSG00000078295	chr5:7449409 - 7879984	adenylate cyclase activity;cAMP biosynthetic process;integral to membrane;intracellular signaling cascade;magnesium ion binding;membrane	Protein Kinase
109	ADCY3	adenylate cyclase 3	NM_004036	NP_004027.2	ENSG00000138031	chr2:24896304 - 24995360	adenylate cyclase activity;calmodulin binding;cAMP biosynthetic process;integral to plasma membrane;intracellular signaling cascade;magnesium ion binding;plasma membrane;response to stimulus;sensory perception of smell	Protein Kinase
196883	ADCY4	adenylate cyclase 4	NM_139247	NP_640340.2	ENSG00000129467	chr14:23857461 - 23873698	adenylate cyclase activity;cAMP biosynthetic process;cyclic nucleotide biosynthetic process;dendrite;G-protein signaling, coupled to cAMP nucleotide second messenger;integral to membrane;intracellular;intracellular signaling cascade;magnesium ion binding;membrane	Protein Kinase
111	ADCY5	adenylate cyclase 5	NM_183357	NP_899200.1	ENSG00000173175	chr3:124486144 - 124650082	adenosine receptor signaling pathway;adenylate cyclase activity;cAMP biosynthetic process;dopamine receptor, adenylate cyclase activating pathway;dopamine receptor, adenylate cyclase inhibiting pathway;integral to membrane;intracellular signaling cascade;locomotory behavior;magnesium ion binding;membrane;regulation of balance	Protein Kinase
112	ADCY6	adenylate cyclase 6	NM_015270, NM_020983	NP_056085.1, NP_066193.1	ENSG00000174233	chr12:47448640 - 47463484	adenylate cyclase activity;cAMP biosynthetic process;integral to membrane;intracellular signaling cascade;magnesium ion binding;membrane	Protein Kinase
113	ADCY7	adenylate cyclase 7	NM_001114	NP_001105.1	ENSG00000121281	chr16:48879591 - 48906917	adenylate cyclase activation;adenylate cyclase activity;cAMP biosynthetic process;integral to plasma membrane;intracellular signaling cascade;magnesium ion binding;plasma membrane	Protein Kinase
114	ADCY8	adenylate cyclase 8 (brain)	NM_001115	NP_001106.1	ENSG00000155897	chr8:131861817 - 132121761	adenylate cyclase activity;calcium- and calmodulin-responsive adenylate cyclase activity;cAMP biosynthetic process;cyclic nucleotide biosynthetic process;integral to membrane;intracellular signaling cascade;learning and/or memory;magnesium ion binding;membrane fraction;plasma membrane	Protein Kinase
115	ADCY9	adenylate cyclase 9	NM_001116	NP_001107.2	ENSG00000162104	chr16:3955776 - 4105444	adenylate cyclase activity;cAMP biosynthetic process;integral to plasma membrane;intracellular signaling cascade;magnesium ion binding;membrane	Protein Kinase
116	ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)	NM_001117	NP_001108.2	ENSG00000141433	chr18:895387 - 899636	adenylate cyclase activation;cell-cell signaling;extracellular region;hormone activity;negative regulation of progression through cell cycle;neuropeptide hormone activity;pregnancy;soluble fraction	Protein Kinase
117	ADCYAP1R1	adenylate cyclase activating polypeptide 1 (pituitary) receptor type I	NM_001118	NP_001109.2	ENSG00000078549	chr7:31069405 - 31112823	cell differentiation;G-protein coupled receptor activity;G-protein coupled receptor protein signaling pathway;integral to plasma membrane;membrane;multicellular organismal development;plasma membrane;receptor activity;spermatogenesis;vasoactive intestinal polypeptide receptor activity	Protein Kinase
120	ADD3	adducin 3 (gamma)	NM_016824, NM_001121	NP_058432.1, NP_063968.1	ENSG00000148700	chr10:111850401 - 111883366	calmodulin binding;cytoskeleton;membrane;metal ion binding;structural constituent of cytoskeleton	Protein Kinase
9370	ADIPOQ	adiponectin, C1Q and collagen domain containing	NM_004797	NP_004788.1	ENSG00000181092	chr3:188053541 - 188055187	cytoplasm;endoplasmic reticulum;extracellular region;extracellular space;fatty acid beta-oxidation;generation of precursor metabolites and energy;glucose homeostasis;glucose metabolic process;hormone activity;negative regulation of gluconeogenesis;phosphate transport;positive regulation of fatty acid metabolic process;positive regulation of glucose import;positive regulation of I-kappaB kinase/NF-kappaB cascade;protein homooligomerization;response to glucose stimulus	Protein Kinase,  Stability,  Tumor Suppressor
51094	ADIPOR1	adiponectin receptor 1	NM_015999, NM_001127687	NP_057083.2, NP_001121159.1	ENSG00000159346	chr1:201177323 - 201186821	fatty acid oxidation;hormone binding;hormone-mediated signaling;identical protein binding;integral to membrane;lipid metabolic process;membrane;protein heterodimerization activity;receptor activity	Protein Kinase
148	ADRA1A	adrenergic, alpha-1A-, receptor	NM_000680, NM_033303, NM_033304, NM_033302	NP_000671.2, NP_150646.3, NP_150647.2, NP_150645.2	ENSG00000120907	chr8:26683582 - 26778403	adrenoceptor activity;alpha1-adrenergic receptor activity;apoptosis;cell-cell signaling;G-protein coupled receptor protein signaling pathway;integral to plasma membrane;membrane;negative regulation of cell proliferation;protein kinase cascade;receptor activity;rhodopsin-like receptor activity;signal transduction;smooth muscle contraction	Protein Kinase
147	ADRA1B	adrenergic, alpha-1B-, receptor	NM_000679	NP_000670.1	ENSG00000170214	chr5:159276490 - 159332077	adrenoceptor activity;adult heart development;alpha1-adrenergic receptor activity;behavioral response to cocaine;blood vessel remodeling;cell growth;cell proliferation;cell-cell signaling;G-protein coupled receptor protein signaling pathway;G-protein signaling, coupled to cAMP nucleotide second messenger;glucose homeostasis;increased strength of heart contraction by epinephrine-norepinephrine;integral to membrane of membrane fraction;integral to plasma membrane;locomotory behavior;membrane;multicellular org	Protein Kinase
154	ADRB2	adrenergic, beta-2-, receptor, surface	NM_000024	NP_000015.1	ENSG00000169252	chr5:148186587 - 148187829	activation of MAPK activity;adenylate cyclase activation;apical plasma membrane;arrestin mediated desensitization of G-protein coupled receptor protein signaling pathway;beta2-adrenergic receptor activity;bone resorption;brown fat cell differentiation;diet induced thermogenesis;endosome;endosome to lysosome transport;G-protein coupled receptor protein signaling pathway;heat generation;integral to plasma membrane;lysosome;membrane fraction;negative regulation of body size;negative regulation of smooth muscle	Protein Kinase
156	ADRBK1	adrenergic, beta, receptor kinase 1	NM_001619	NP_001610.2	ENSG00000173020	chr11:66790746 - 66809497	ATP binding;cardiac inotropy;cytoplasm;desensitization of G-protein coupled receptor protein signaling pathway;G-protein coupled receptor kinase activity;G-protein coupled receptor protein signaling pathway;heart development;membrane;nucleotide binding;protein amino acid phosphorylation;protein binding;protein serine/threonine kinase activity;receptor activity;signal transducer activity;signal transduction;soluble fraction;transferase activity	Protein Kinase,  Stability
157	ADRBK2	adrenergic, beta, receptor kinase 2	NM_005160	NP_005151.2	ENSG00000100077	chr22:24291007 - 24448417	ATP binding;G-protein coupled receptor kinase activity;nucleotide binding;protein amino acid phosphorylation;signal transducer activity;signal transduction;transferase activity	Protein Kinase
84632	AFAP1L2	actin filament associated protein 1-like 2	NM_001001936, NM_032550	NP_001001936.1, NP_115939.1	ENSG00000169129	chr10:116045790 - 116154204		Protein Kinase
186	AGTR2	angiotensin II receptor, type 2	NM_000686	NP_000677.2	ENSG00000180772	chrX:115217561 - 115218653	angiotensin mediated vasodilation during regulation of blood pressure;angiotensin type II receptor activity;apoptosis;behavior;blood pressure regulation;bradykinin receptor activity;brain renin-angiotensin system;G-protein coupled receptor protein signaling pathway;integral to plasma membrane;membrane;protein kinase inhibitor activity;receptor activity;rhodopsin-like receptor activity	Protein Kinase,  Stability,  Tumor Suppressor
79706	AK097289	PRKR interacting protein 1 (IL11 inducible)			ENSG00000128563	chr7:null		Protein Kinase
8165	AKAP1	A kinase (PRKA) anchor protein 1	NM_003488	NP_003479.1	ENSG00000121057	chr17:52537824 - 52552684	integral to membrane;membrane;mitochondrion;outer membrane;RNA binding	Protein Kinase
11215	AKAP11	A kinase (PRKA) anchor protein 11	NM_016248	NP_057332.1	ENSG00000023516	chr13:41758484 - 41791364	protein binding;protein kinase A binding;protein kinase cascade;protein phosphatase 1 binding	Protein Kinase
9590	AKAP12	A kinase (PRKA) anchor protein (gravin) 12	NM_005100, NM_144497	NP_005091.2, NP_653080.1	ENSG00000131016	chr6:151603390 - 151716568	cytoplasm;G-protein coupled receptor protein signaling pathway;protein binding;protein kinase A binding;protein targeting;signal transduction	Protein Kinase,  Tumor Suppressor
11214	AKAP13	A kinase (PRKA) anchor protein 13	NM_144767, NM_007200, NM_006738	NP_658913.1, NP_009131.2, NP_006729.4	ENSG00000170776	chr15:83829955 - 84088912	diacylglycerol binding;guanyl-nucleotide exchange factor activity;intracellular;intracellular signaling cascade;membrane;membrane fraction;metal ion binding;nucleus;receptor activity;regulation of Rho protein signal transduction;Rho guanyl-nucleotide exchange factor activity;signal transducer activity;zinc ion binding	Protein Kinase,  Entrez Query:Oncogene
158798	AKAP14	A kinase (PRKA) anchor protein 14	NM_001008534, NM_178813, NM_001008535	NP_001008534.1, NP_848928.1, NP_001008535.1	ENSG00000186471	chrX:118921214 - 118938598		Protein Kinase
10566	AKAP3	A kinase (PRKA) anchor protein 3	NM_006422	NP_006413.2	ENSG00000111254	chr12:4595165 - 4617623	acrosome reaction;cell motility;microtubule-based flagellum;protein binding;protein kinase A binding;protein localization;transmembrane receptor protein serine/threonine kinase signaling pathway	Protein Kinase
8852	AKAP4	A kinase (PRKA) anchor protein 4	NM_139289	NP_647450.1	ENSG00000147081	chrX:49842342 - 49852280	cAMP-dependent protein kinase complex;cytoskeleton;microtubule-based flagellum;protein binding;protein kinase A binding;signal transduction;single fertilization;sperm motility;structural molecule activity	Protein Kinase
9495	AKAP5	A kinase (PRKA) anchor protein 5	NM_004857	NP_004848.3	ENSG00000179841	chr14:64004865 - 64006149	calmodulin binding;plasma membrane;protein binding;protein kinase A binding;protein targeting;signal transduction;synaptic transmission	Protein Kinase
9472	AKAP6	A kinase (PRKA) anchor protein 6	NM_004274	NP_004265.3	ENSG00000151320	chr14:31972450 - 32363730	nuclear envelope;protein kinase A binding;protein targeting;sarcoplasmic reticulum	Protein Kinase,  Stability
9465	AKAP7	A kinase (PRKA) anchor protein 7	NM_138633, NM_004842, NM_016377	NP_619539.1, NP_004833.1, NP_057461.1	ENSG00000118507	chr6:131508164 - 131644559	apical plasma membrane;biological_process;cytosol;intracellular signaling cascade;ion transport;lateral plasma membrane;plasma membrane;protein kinase A binding;protein localization	Protein Kinase
