UniProtKB	P35372	OPRM1		GO:0038047	GO_REF:0000024|UniProtKB:P33535	ISS	UniProtKB:P33535	F	Mu-type opioid receptor	B2R9S7|B8Q1L7|IPI00217416|IPI00514084|IPI00922493|IPI00922515|IPI00922551|IPI00922644|IPI00922913|IPI00942295|IPI00943201|IPI00967650|IPI00975883|MOR1|OPRM1|OPRM_HUMAN|Q12930|Q4VWM1|Q4VWM2|Q4VWM3|Q4VWM4|Q4VWM6|Q4VWX6|Q5TDA1|Q6UQ80|Q7Z2D8|Q8IWW3|Q8IWW4|Q9UCZ4|Q9UN57	protein	taxon:9606	20111221	UniProtKB
UniProtKB	B4DIE9	CRHR1		GO:0015056	GO_REF:0000019|Ensembl:ENSMUSP00000091455	IEA	Ensembl:ENSMUSP00000091455	F	Uncharacterized protein	B4DIE9_HUMAN|CRHR1|CRHR1L|hCG_28513|IPI00789829	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	P34998	CRHR1		GO:0015056	GO_REF:0000019|Ensembl:ENSMUSP00000091455	IEA	Ensembl:ENSMUSP00000091455	F	Corticotropin-releasing factor receptor 1	CRFR|CRFR1|CRFR1_HUMAN|CRHR|CRHR1|IPI00003083|IPI00219267|IPI00219268|IPI00219269|Q13008|Q4QRJ1|Q9UK64	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	Q13324	CRHR2		GO:0015056	PMID:9717834	TAS		F	Corticotropin-releasing factor receptor 2	CRF2R|CRFR2_HUMAN|CRH2R|CRHR2|IPI00181589|IPI00219074|IPI00297620|O43461|Q4QRJ4|Q99431	protein	taxon:9606	20030904	PINC
UniProtKB	B4DZ78	LPAR5		GO:0045028	GO_REF:0000002|InterPro:IPR002286	IEA	InterPro:IPR002286	F	cDNA FLJ51160, highly similar to Probable G-protein coupled receptor 92	B4DZ78_HUMAN|IPI00006962|LPAR5	protein	taxon:9606	20120107	InterPro
UniProtKB	B4E183	P2RY12		GO:0045028	GO_REF:0000002|InterPro:IPR005394	IEA	InterPro:IPR005394	F	Uncharacterized protein	B4E183_HUMAN|IPI00909653|P2RY12	protein	taxon:9606	20120107	InterPro
UniProtKB	E9PI97	HCAR3		GO:0045028	GO_REF:0000002|InterPro:IPR002286	IEA	InterPro:IPR002286	F	Uncharacterized protein	E9PI97_HUMAN|HCAR3|IPI00025628	protein	taxon:9606	20120107	InterPro
UniProtKB	F5GX90	P2RY6		GO:0045028	GO_REF:0000002|InterPro:IPR001973	IEA	InterPro:IPR001973	F	Uncharacterized protein	F5GX90_HUMAN|IPI01013029|P2RY6	protein	taxon:9606	20120107	InterPro
UniProtKB	F5GYF3	P2RY6		GO:0045028	GO_REF:0000002|InterPro:IPR001973	IEA	InterPro:IPR001973	F	Uncharacterized protein	F5GYF3_HUMAN|IPI01011769|P2RY6	protein	taxon:9606	20120107	InterPro
UniProtKB	F5H8H1	HCAR2		GO:0045028	GO_REF:0000002|InterPro:IPR002286	IEA	InterPro:IPR002286	F	Uncharacterized protein	F5H8H1_HUMAN|HCAR2|IPI01014769	protein	taxon:9606	20120107	InterPro
UniProtKB	O00398	P2RY10		GO:0045028	GO_REF:0000002|InterPro:IPR002286	IEA	InterPro:IPR002286	F	Putative P2Y purinoceptor 10	D3DTE5|IPI00004964|P2RY10|P2Y10_HUMAN|Q4VBN7|Q86V16	protein	taxon:9606	20120107	InterPro
UniProtKB	O14626	GPR171		GO:0045028	GO_REF:0000002|InterPro:IPR002286	IEA	InterPro:IPR002286	F	Probable G-protein coupled receptor 171	D3DNJ4|GP171_HUMAN|GPR171|H963|IPI00023057|Q8IV06	protein	taxon:9606	20120107	InterPro
UniProtKB	P32249	GPR183		GO:0045028	GO_REF:0000002|InterPro:IPR002286	IEA	InterPro:IPR002286	F	G-protein coupled receptor 183	B2R8N5|EBI2|GP183_HUMAN|GPR183|IPI00027688|Q53F99|Q5JUH7	protein	taxon:9606	20120107	InterPro
UniProtKB	P41231	P2RY2		GO:0045028	GO_REF:0000002|InterPro:IPR000356	IEA	InterPro:IPR000356	F	P2Y purinoceptor 2	B2R9W3|IPI00298653|P2RU1|P2RY2|P2RY2_HUMAN|Q96EM8	protein	taxon:9606	20120107	InterPro
UniProtKB	P43657	LPAR6		GO:0045028	GO_REF:0000002|InterPro:IPR002188	IEA	InterPro:IPR002188	F	Lysophosphatidic acid receptor 6	A4FTW9|B3KVF2|IPI00019955|LPAR6|LPAR6_HUMAN|O15133|P2RY5|Q3KPF5|Q53FA0|Q5VW44|Q7Z3S0|Q7Z3S6	protein	taxon:9606	20120107	InterPro
UniProtKB	P47900	P2RY1		GO:0045028	GO_REF:0000019|Ensembl:ENSRNOP00000019304	IEA	Ensembl:ENSRNOP00000019304	F	P2Y purinoceptor 1	IPI00026825|P2RY1|P2RY1_HUMAN	protein	taxon:9606	20120107	ENSEMBL
