Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources
118	ADD1	adducin 1 (alpha)	NM_176801, NM_014190, NM_014189, NM_001119	NP_789771.1, NP_054909.2, NP_054908.2, NP_001110.2	ENSG00000087274	chr4:2847440 - 2900048	actin binding;actin cytoskeleton;calmodulin binding;membrane;metal ion binding;structural constituent of cytoskeleton	ID
467	ATF3	activating transcription factor 3	NM_001674, NM_004024	NP_001665.1, NP_004015.4	ENSG00000162772	chr1:210854986 - 210859520	DNA binding;nucleus;protein dimerization activity;regulation of transcription, DNA-dependent;sequence-specific DNA binding;transcription;transcription corepressor activity;transcription factor activity	ID,  TGFBR,  Stability,  Tumor Suppressor
890	CCNA2	cyclin A2	NM_001237	NP_001228.1	ENSG00000145386	chr4:122958242 - 122964233	cell cycle;cell division;cytoplasm;female pronucleus;male pronucleus;mitosis;mitotic G2 checkpoint;nucleus;positive regulation of transcription;protein binding;regulation of cyclin-dependent protein kinase activity	ID,  Stability,  Tumor Suppressor
1017	CDK2	cyclin-dependent kinase 2	NM_052827, NM_001798	NP_439892.2, NP_001789.2	ENSG00000123374	chr12:54647059 - 54651676	ATP binding;cell cycle;cell division;cyclin-dependent protein kinase activity;cytoplasm;G2/M transition of mitotic cell cycle;identical protein binding;mitosis;nucleotide binding;nucleus;positive regulation of cell proliferation;protein amino acid phosphorylation;protein serine/threonine kinase activity;regulation of DNA replication;transferase activity;traversing start control point of mitotic cell cycle	ID,  TGFBR,  Hahn and Weinberg 2002,  Protein Kinase,  Stability,  Tumor Suppressor
27000	DNAJC2	zuotin related factor 1	NM_001129887, NM_014377	NP_001123359.1, NP_055192.1	ENSG00000105821	chr7:102740251 - 102772305	DNA binding;heat shock protein binding;integral to membrane;nucleus;protein folding;unfolded protein binding	ID
2002	ELK1	ELK1, member of ETS oncogene family	NM_005229, NM_001114123	NP_005220.2, NP_001107595.1	ENSG00000126767	chrX:47381171 - 47385784	nucleus;positive regulation of transcription from RNA polymerase II promoter;protein binding;regulation of transcription, DNA-dependent;sequence-specific DNA binding;transcription;transcription factor activity	EGFR1,  ID,  Entrez Query:Oncogene
2004	ELK3	ELK3, ETS-domain protein (SRF accessory protein 2)	NM_005230	NP_005221.2	ENSG00000111145	chr12:95141475 - 95185089	angiogenesis;negative regulation of transcription;nucleus;purine-rich negative regulatory element binding;regulation of transcription from RNA polymerase II promoter;RNA polymerase II transcription factor activity;signal transduction;transcription;transcription corepressor activity;transcription factor activity;wound healing	ID
2005	ELK4	ELK4, ETS-domain protein (SRF accessory protein 1)	NM_021795, NM_001973	NP_068567.1, NP_001964.2	ENSG00000158711	chr1:203852296 - 203859633	nucleus;protein binding;regulation of transcription, DNA-dependent;sequence-specific DNA binding;transcription cofactor activity;transcription factor activity;transcription from RNA polymerase II promoter	EGFR1,  ID,  Entrez Query:Oncogene
3397	ID1	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	NM_181353, NM_002165	NP_851998.1, NP_002156.2	ENSG00000125968	chr20:29656851 - 29657558	multicellular organismal development;negative regulation of transcription;negative regulation of transcription factor activity;nucleus;protein binding;regulation of transcription from RNA polymerase II promoter;transcriptional repressor activity	ID,  Stability,  Entrez Query:Oncogene
3399	ID3	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein	NM_002167	NP_002158.3	ENSG00000117318	chr1:23758037 - 23758504	epithelial cell differentiation;heart development;multicellular organismal development;negative regulation of transcription;negative regulation of transcription factor activity;negative regulation of transcription from RNA polymerase II promoter;nucleus;protein domain specific binding;transcription corepressor activity	ID
