Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources
891	CCNB1	cyclin B1	NM_031966	NP_114172.1	ENSG00000134057	chr5:68498845 - 68509214	cell cycle;cell division;cellular_component;G2/M transition of mitotic cell cycle;mitosis;nucleus;protein binding;regulation of progression through cell cycle	Hedgehog
983	CDC2	cell division cycle 2, G1 to S and G2 to M	NM_001786, NM_033379	NP_001777.1, NP_203698.1	ENSG00000170312	chr10:62209929 - 62223739	anti-apoptosis;ATP binding;cell cycle;cell division;cyclin-dependent protein kinase activity;midbody;mitosis;nucleotide binding;nucleus;protein amino acid phosphorylation;protein binding;regulation of progression through cell cycle;spindle microtubule;transferase activity;traversing start control point of mitotic cell cycle	Androgen Receptor,  Hedgehog,  TGFBR,  Wnt,  Protein Kinase,  Stability,  Tumor Suppressor
1387	CREBBP	CREB binding protein (Rubinstein-Taybi syndrome)	NM_004380, NM_001079846	NP_004371.2, NP_001073315.1	ENSG00000005339	chr16:3717719 - 3869918	acetyltransferase activity;cytoplasm;histone acetylation;histone acetyltransferase activity;homeostatic process;metal ion binding;MyoD binding;N-terminal peptidyl-lysine acetylation;nucleus;positive regulation of transcription;protein binding;protein complex assembly;regulation of transcription, DNA-dependent;response to hypoxia;signal transducer activity;signal transduction;transcription coactivator activity;transcription factor activity;transferase activity;zinc ion binding	Androgen Receptor,  Hedgehog,  TGFBR,  TNF_alpha_NF_kB,  Futreal et al 2004,  Mitelman 2000,  Stability,  Tumor Suppressor,  Translocation
50846	DHH	desert hedgehog homolog (Drosophila)	NM_021044	NP_066382.1	ENSG00000139549	chr12:47769908 - 47774562	cell-cell signaling;membrane;multicellular organismal development;peptidase activity;protein binding;proteolysis	Hedgehog
1859	DYRK1A	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A	NM_130437, NM_130438, NM_001396, NM_101395, NM_130436	NP_569121.1, NP_569122.1, NP_001387.2, NP_567824.1, NP_569120.1	ENSG00000157540	chr21:37714546 - 37806704	ATP binding;kinase activity;nervous system development;non-membrane spanning protein tyrosine kinase activity;nuclear speck;nucleotide binding;nucleus;peptidyl-tyrosine phosphorylation;protein amino acid autophosphorylation;protein self-association;protein serine/threonine kinase activity;transferase activity	Hedgehog,  Protein Kinase,  Stability
2619	GAS1	growth arrest-specific 1	NM_002048	NP_002039.2	ENSG00000180447	chr9:88750476 - 88751514	anchored to plasma membrane;cell cycle;cell cycle arrest;GPI anchor binding;membrane;molecular_function;negative regulation of cell proliferation;negative regulation of S phase of mitotic cell cycle;programmed cell death;protein binding;receptor activity	Hedgehog,  Tumor Suppressor
2735	GLI1	glioma-associated oncogene homolog 1 (zinc finger protein)	NM_005269	NP_005260.1	ENSG00000111087	chr12:56143741 - 56152111	cerebellar cortex morphogenesis;chromatin binding;cytoplasm;DNA binding;dorsal/ventral pattern formation;epidermal cell differentiation;intracellular;lung development;metal ion binding;microtubule binding;multicellular organismal development;notochord development;nucleus;osteoblast differentiation;pituitary gland development;positive regulation of cell proliferation;positive regulation of DNA replication;positive regulation of transcription;positive regulation of transcription from RNA polymerase II promote	Hedgehog,  Vogelstein and Kinzler 2004,  Entrez Query:Oncogene
64399	HHIP	hedgehog interacting protein	NM_022475	NP_071920.1	ENSG00000164161	chr4:145787277 - 145878559	cell surface;dorsal/ventral pattern formation;integral to plasma membrane;lung development;negative regulation of smoothened signaling pathway;neuroblast proliferation;organ morphogenesis;protein binding;regulation of fibroblast growth factor receptor signaling pathway;signal transduction;smoothened signaling pathway	Hedgehog
3549	IHH	Indian hedgehog homolog (Drosophila)	NM_002181	NP_002172.2	ENSG00000163501	chr2:219628172 - 219633433	cell maturation;cell-cell signaling;cholesterol binding;extracellular region;intein-mediated protein splicing;membrane;negative regulation of cell differentiation;osteoblast differentiation;patched binding;pattern specification process;patterning of blood vessels;peptidase activity;positive regulation of cell proliferation;protein binding;proteolysis;skeletal development	Hedgehog
8643	PTCH2	patched homolog 2 (Drosophila)	NM_003738	NP_003729.3	ENSG00000117425	chr1:45060673 - 45081191	epidermis development;hedgehog receptor activity;integral to plasma membrane;membrane;protein complex assembly;spermatogenesis	Hedgehog,  Tumor Suppressor
