Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources
25	ABL1	v-abl Abelson murine leukemia viral oncogene homolog 1	NM_007313, NM_005157	NP_009297.2, NP_005148.2	ENSG00000097007	chr9:132579527 - 132750891	actin cytoskeleton organization and biogenesis;ATP binding;biological_process;cell adhesion;cellular_component;cytoplasm;cytoskeleton;DNA binding;DNA damage response, signal transduction resulting in induction of apoptosis;intracellular signaling cascade;magnesium ion binding;manganese ion binding;mismatch repair;molecular_function;nucleotide binding;nucleus;peptidyl-tyrosine phosphorylation;protein C-terminus binding;protein modification process;protein-tyrosine kinase activity;regulation of progression th	Alpha6Beta4 Integrin,  Kit Receptor,  Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Protein Kinase,  Stability,  Tumor Suppressor,  Tyrosine Kinase,  Entrez Query:Oncogene,  Translocation
207	AKT1	v-akt murine thymoma viral oncogene homolog 1	NM_001014431	NP_005154.2	ENSG00000142208	chr14:104307722 - 104330025	anagen;apoptosis;apoptotic mitochondrial changes;ATP binding;carbohydrate metabolic process;cytoplasm;G-protein coupled receptor protein signaling pathway;germ cell development;glucose metabolic process;glucose transport;glycogen biosynthetic process;identical protein binding;inflammatory response;insulin receptor signaling pathway;insulin-like growth factor receptor signaling pathway;lamellipodium;nitric oxide biosynthetic process;nucleotide binding;nucleus;peptidyl-serine phosphorylation;protein amino aci	Alpha6Beta4 Integrin,  Androgen Receptor,  EGFR1,  Kit Receptor,  TNF_alpha_NF_kB,  Wnt,  Hahn and Weinberg 2002,  Protein Kinase,  Stability,  Tumor Suppressor,  Entrez Query:Oncogene
695	BTK	Bruton agammaglobulinemia tyrosine kinase	NM_000061	NP_000052.1	ENSG00000010671	chrX:100491528 - 100516928	ATP binding;calcium-mediated signaling;cytoplasm;induction of apoptosis by extracellular signals;intracellular signaling cascade;kinase activity;lipid raft;mesoderm development;metal ion binding;nucleotide binding;protein amino acid phosphorylation;protein binding;protein-tyrosine kinase activity;transferase activity;zinc ion binding	Kit Receptor,  Protein Kinase,  Tyrosine Kinase
867	CBL	Cas-Br-M (murine) ecotropic retroviral transforming sequence	NM_005188	NP_005179.2	ENSG00000110395	chr11:118582337 - 118675701	calcium ion binding;cell surface receptor linked signal transduction;epidermal growth factor receptor signaling pathway;ligase activity;nucleus;plasma membrane;positive regulation of receptor mediated endocytosis;protein binding;protein ubiquitination;signal transducer activity;transcription factor activity;ubiquitin-protein ligase activity;zinc ion binding	EGFR1,  Kit Receptor,  Futreal et al 2004,  Mitelman 2000,  Entrez Query:Oncogene,  Translocation
868	CBLB	Cas-Br-M (murine) ecotropic retroviral transforming sequence b	NM_170662	NP_733762.2	ENSG00000114423	chr3:106860503 - 107069111	calcium ion binding;cell surface receptor linked signal transduction;immune response;intracellular signaling cascade;ligase activity;negative regulation of T cell receptor signaling pathway;NLS-bearing substrate import into nucleus;nucleus;protein binding;signal transducer activity;T cell activation;ubiquitin cycle;zinc ion binding	EGFR1,  Kit Receptor,  Entrez Query:Oncogene
1213	CLTC	clathrin, heavy chain (Hc)	NM_004859	NP_004850.1	ENSG00000141367	chr17:55052274 - 55125995	clathrin vesicle coat;coated pit;intracellular protein transport;protein binding;structural molecule activity	Kit Receptor,  Futreal et al 2004,  Mitelman 2000,  Translocation
1398	CRK	v-crk sarcoma virus CT10 oncogene homolog (avian)	NM_016823, NM_005206	NP_058431.2, NP_005197.3	ENSG00000167193	chr17:1273556 - 1306161	actin cytoskeleton organization and biogenesis;cell motility;cytoplasm;intracellular signaling cascade;nucleus;protein binding;protein phosphorylated amino acid binding;regulation of transcription from RNA polymerase II promoter;SH2 domain binding;SH3/SH2 adaptor activity	EGFR1,  Kit Receptor,  Stability,  Tumor Suppressor,  Entrez Query:Oncogene
1399	CRKL	v-crk sarcoma virus CT10 oncogene homolog (avian)-like	NM_005207	NP_005198.1	ENSG00000099942	chr22:19602222 - 19634133	anterior/posterior pattern formation;blood vessel development;cell motility;heart development;intracellular signaling cascade;JNK cascade;organ morphogenesis;parathyroid gland development;pattern specification process;protein amino acid phosphorylation;protein binding;protein-tyrosine kinase activity;Ras protein signal transduction;SH3/SH2 adaptor activity;thymus development	EGFR1,  Kit Receptor,  Protein Kinase,  Entrez Query:Oncogene
1439	CSF2RB	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)	NM_000395	NP_000386.1	ENSG00000100368	chr22:35648195 - 35664490	cytokine and chemokine mediated signaling pathway;granulocyte macrophage colony-stimulating factor receptor complex;interleukin-3 receptor activity;interleukin-5 receptor activity;membrane;receptor activity;respiratory gaseous exchange;signal transduction	Kit Receptor
1796	DOK1	docking protein 1, 62kDa (downstream of tyrosine kinase 1)	NM_001381	NP_001372.1	ENSG00000115325	chr2:74635389 - 74637749	cell surface receptor linked signal transduction;insulin receptor binding;protein binding;transmembrane receptor protein tyrosine kinase signaling pathway	Kit Receptor,  Protein Kinase,  Tumor Suppressor
